,x,y
0,1e-05,0.972
1,50006.49,0.97
2,70022.86,0.969
3,99938.93,0.968
4,199729.9,0.964
5,300353.5,0.959
6,399815.0,0.955
7,499510.3,0.95
8,698840.6,0.942
9,704045.7,0.941
10,802941.8,0.937
11,900000.0,0.933
12,1200000.0,0.919
13,1400000.0,0.91
14,1500000.0,0.906
15,1700000.0,0.897
16,1900000.0,0.888
17,2000000.0,0.884
18,2200000.0,0.875
19,2300000.0,0.871
20,2500000.0,0.862
21,3000000.0,0.84
22,3187500.0,0.831
23,3500000.0,0.817
24,4000000.0,0.795
25,5000000.0,0.751
26,5500000.0,0.729
27,6000000.0,0.707
28,7000000.0,0.662
29,8000000.0,0.618
30,9000000.0,0.574
31,10000000.0,0.529
32,12000000.0,0.441
33,14000000.0,0.352
34,15000000.0,0.33
35,60000000.0,0.33
