,x,y
0,1e-05,0.47
1,1000.0,0.471
2,50000.0,0.472
3,200000.0,0.471
4,1200000.0,0.468
5,1400000.0,0.464
6,1600000.0,0.459
7,1800000.0,0.453
8,2000000.0,0.447
9,2200000.0,0.442
10,2400000.0,0.432
11,2600000.0,0.427
12,2800000.0,0.422
13,3000000.0,0.417
14,3200000.0,0.412
15,3400000.0,0.407
16,3600000.0,0.403
17,3800000.0,0.398
18,4000000.0,0.395
19,4200000.0,0.391
20,4400000.0,0.387
21,4600000.0,0.385
22,4800000.0,0.381
23,5000000.0,0.379
24,5200000.0,0.378
25,5400000.0,0.376
26,5600000.0,0.374
27,5800000.0,0.371
28,6000000.0,0.369
29,6400000.0,0.367
30,6600000.0,0.366
31,6800000.0,0.365
32,7000000.0,0.364
33,7400000.0,0.349
34,7600000.0,0.347
35,8000000.0,0.348
36,9000000.0,0.355
37,9500000.0,0.363
38,10000000.0,0.373
39,10500000.0,0.384
40,11000000.0,0.392
41,11500000.0,0.397
42,12000000.0,0.398
43,13000000.0,0.397
44,13500000.0,0.394
45,14000000.0,0.389
46,14500000.0,0.381
47,15000000.0,0.375
48,16000000.0,0.362
49,17000000.0,0.353
50,18000000.0,0.351
51,20000000.0,0.355
52,21000000.0,0.36
53,22000000.0,0.365
54,23000000.0,0.368
55,24000000.0,0.37
56,25000000.0,0.372
57,26000000.0,0.37
58,28000000.0,0.371
59,29000000.0,0.369
60,30000000.0,0.368
61,34000000.0,0.391
62,36000000.0,0.394
63,38000000.0,0.395
64,40000000.0,0.394
65,42000000.0,0.393
66,44000000.0,0.39
67,46000000.0,0.389
68,52000000.0,0.388
69,54000000.0,0.386
70,56000000.0,0.384
71,60000000.0,0.385
