,x,y
0,1e-05,0.709
1,379763.9,0.707
2,409527.8,0.706
3,456041.7,0.705
4,459364.1,0.704
5,487604.7,0.703
6,524215.2,0.702
7,540955.0,0.701
8,574434.6,0.7
9,599544.4,0.699
10,633024.0,0.698
11,670849.5,0.697
12,702478.0,0.695
13,755192.1,0.693
14,797363.4,0.692
15,886530.6,0.689
16,909224.5,0.688
17,1000000.0,0.684
18,1095445.0,0.681
19,1200000.0,0.677
20,1400000.0,0.67
21,1600000.0,0.662
22,1800000.0,0.655
23,2000000.0,0.648
24,2167500.0,0.642
25,2199998.0,0.641
26,2374178.0,0.634
27,2400000.0,0.633
28,2495800.0,0.63
29,2600000.0,0.626
30,2755620.0,0.621
31,2822320.0,0.618
32,3000000.0,0.612
33,3113250.0,0.608
34,3500000.0,0.594
35,3855321.0,0.582
36,4016830.0,0.576
37,4086460.0,0.574
38,4626450.0,0.555
39,4985130.0,0.543
40,5616040.0,0.522
41,5778890.0,0.516
42,6018980.0,0.508
43,6326860.0,0.498
44,6385380.0,0.496
45,6462630.0,0.494
46,6509600.0,0.492
47,7003183.0,0.476
48,7202730.0,0.469
49,7989036.0,0.444
50,9000000.0,0.412
51,10000000.0,0.381
52,11000000.0,0.35
53,12000000.0,0.321
54,13000000.0,0.291
55,13490740.0,0.277
56,14000000.0,0.262
57,14429020.0,0.25
58,14903600.0,0.248
59,60000000.0,0.248
