,x,y
0,1e-05,0.961
1,59433.94,0.96
2,131328.5,0.959
3,211592.1,0.958
4,282767.3,0.957
5,345946.1,0.956
6,422870.8,0.955
7,500188.8,0.954
8,565115.8,0.953
9,650488.4,0.952
10,706714.0,0.951
11,793608.2,0.95
12,896804.1,0.949
13,935502.6,0.948
14,1000000.0,0.947
15,1088123.0,0.946
16,1167819.0,0.945
17,1263460.0,0.944
18,1370301.0,0.942
19,1448282.0,0.941
20,1573869.0,0.939
21,1764079.0,0.937
22,1959024.0,0.934
23,2151153.0,0.931
24,2286409.0,0.93
25,2447066.0,0.927
26,2631747.0,0.925
27,2809847.0,0.922
28,3000000.0,0.92
29,3288400.0,0.916
30,3550984.0,0.912
31,3868156.0,0.908
32,4239487.0,0.902
33,4604067.0,0.897
34,5000000.0,0.892
35,5214780.0,0.889
36,5410268.0,0.886
37,5666594.0,0.883
38,5890439.0,0.88
39,6150144.0,0.876
40,6429962.0,0.872
41,6628012.0,0.869
42,6936870.0,0.865
43,7000000.0,0.864
44,8182154.0,0.848
45,9676553.0,0.827
46,10000000.0,0.822
47,12093060.0,0.793
48,15000000.0,0.76
49,21000000.0,0.752
50,22000000.0,0.742
51,23000000.0,0.739
52,24000000.0,0.732
53,25000000.0,0.729
54,26000000.0,0.727
55,27000000.0,0.722
56,29000000.0,0.721
57,30000000.0,0.718
58,34000000.0,0.715
59,36000000.0,0.717
60,38000000.0,0.713
61,40000000.0,0.715
62,42000000.0,0.711
63,44000000.0,0.713
64,46000000.0,0.714
65,48000000.0,0.708
66,50000000.0,0.709
67,52000000.0,0.712
68,54000000.0,0.714
69,56000000.0,0.706
70,58000000.0,0.708
71,60000000.0,0.711
