,x,y
0,1e-05,0.13
1,24500.0,0.131
2,100000.0,0.132
3,150000.0,0.133
4,215000.0,0.135
5,300000.0,0.136
6,465000.0,0.14
7,700000.0,0.145
8,1000000.0,0.151
9,1500000.0,0.162
10,2150000.0,0.176
11,3000000.0,0.194
12,4650000.0,0.229
13,7000000.0,0.28
14,10000000.0,0.344
15,12000000.0,0.387
16,13000000.0,0.408
17,14000000.0,0.429
18,15000000.0,0.44
19,21000000.0,0.435
20,22000000.0,0.431
21,23000000.0,0.426
22,24000000.0,0.423
23,25000000.0,0.419
24,26000000.0,0.417
25,27000000.0,0.414
26,28000000.0,0.411
27,29000000.0,0.408
28,30000000.0,0.405
29,32000000.0,0.398
30,34000000.0,0.394
31,36000000.0,0.389
32,38000000.0,0.383
33,40000000.0,0.379
34,42000000.0,0.374
35,44000000.0,0.37
36,46000000.0,0.364
37,48000000.0,0.361
38,50000000.0,0.359
39,52000000.0,0.354
40,54000000.0,0.351
41,56000000.0,0.342
42,58000000.0,0.341
43,60000000.0,0.337
