,x,y
0,1e-05,0.6
1,30.001,0.826
2,1000.0,0.759
3,2000.0,0.756
4,5000.0,0.749
5,10000.0,0.741
6,20000.0,0.729
7,50000.0,0.713
8,100000.0,0.702
9,200000.0,0.697
10,300000.0,0.693
11,400000.0,0.684
12,500000.0,0.671
13,600000.0,0.654
14,700000.0,0.632
15,800000.0,0.609
16,900000.0,0.585
17,1000000.0,0.564
18,1200000.0,0.536
19,1400000.0,0.525
20,1600000.0,0.522
21,1800000.0,0.521
22,2000000.0,0.52
23,2200000.0,0.516
24,2400000.0,0.511
25,2600000.0,0.504
26,2800000.0,0.496
27,3000000.0,0.488
28,3200000.0,0.48
29,3400000.0,0.473
30,3600000.0,0.466
31,3800000.0,0.46
32,4000000.0,0.454
33,4200000.0,0.448
34,4400000.0,0.442
35,4600000.0,0.437
36,4800000.0,0.432
37,5000000.0,0.428
38,5200000.0,0.424
39,5400000.0,0.421
40,5600000.0,0.422
41,5800000.0,0.425
42,6000000.0,0.431
43,6200000.0,0.438
44,6400000.0,0.448
45,6600000.0,0.462
46,6800000.0,0.475
47,7000000.0,0.486
48,7200000.0,0.492
49,7400000.0,0.495
50,7600000.0,0.498
51,7800000.0,0.5
52,8000000.0,0.491
53,8500000.0,0.472
54,9000000.0,0.45
55,9500000.0,0.427
56,10000000.0,0.406
57,10500000.0,0.386
58,11000000.0,0.368
59,11500000.0,0.351
60,12000000.0,0.336
61,12500000.0,0.322
62,13000000.0,0.363
63,13500000.0,0.358
64,14500000.0,0.357
65,15000000.0,0.358
66,16000000.0,0.36
67,17000000.0,0.363
68,18000000.0,0.366
69,19000000.0,0.368
70,20000000.0,0.37
71,21000000.0,0.372
72,22000000.0,0.374
73,23000000.0,0.376
74,24000000.0,0.378
75,25000000.0,0.381
76,26000000.0,0.383
77,27000000.0,0.386
78,28000000.0,0.388
79,29000000.0,0.39
80,30000000.0,0.393
81,32000000.0,0.404
82,34000000.0,0.41
83,36000000.0,0.413
84,38000000.0,0.418
85,40000000.0,0.423
86,42000000.0,0.428
87,44000000.0,0.432
88,46000000.0,0.436
89,48000000.0,0.44
90,50000000.0,0.443
91,52000000.0,0.445
92,54000000.0,0.449
93,56000000.0,0.453
94,58000000.0,0.455
95,60000000.0,0.457
