,x,y
0,1e-05,0.5
1,30000.0,0.501
2,100000.0,0.502
3,150000.0,0.503
4,215000.0,0.504
5,300000.0,0.505
6,465000.0,0.508
7,700000.0,0.513
8,1000000.0,0.518
9,1500000.0,0.527
10,2150000.0,0.539
11,3000000.0,0.554
12,4650000.0,0.583
13,7000000.0,0.626
14,10000000.0,0.679
15,12000000.0,0.715
16,13000000.0,0.733
17,14000000.0,0.751
18,15000000.0,0.76
19,21000000.0,0.758
20,22000000.0,0.757
21,23000000.0,0.756
22,25000000.0,0.757
23,26000000.0,0.759
24,28000000.0,0.761
25,29000000.0,0.762
26,30000000.0,0.763
27,32000000.0,0.765
28,34000000.0,0.771
29,36000000.0,0.718
30,38000000.0,0.713
31,40000000.0,0.71
32,42000000.0,0.705
33,44000000.0,0.701
34,46000000.0,0.695
35,48000000.0,0.691
36,50000000.0,0.687
37,52000000.0,0.682
38,54000000.0,0.679
39,56000000.0,0.676
40,58000000.0,0.673
41,60000000.0,0.668
