,x,y
0,1e-05,0.938
1,30000.0,0.937
2,46500.0,0.937
3,100000.0,0.936
4,215000.0,0.934
5,300000.0,0.933
6,465000.0,0.93
7,700000.0,0.926
8,1000000.0,0.922
9,1500000.0,0.913
10,2150000.0,0.903
11,3000000.0,0.889
12,4650000.0,0.862
13,7000000.0,0.823
14,10000000.0,0.774
15,12000000.0,0.741
16,13000000.0,0.724
17,14000000.0,0.708
18,15000000.0,0.7
19,21000000.0,0.706
20,22000000.0,0.712
21,23000000.0,0.717
22,24000000.0,0.721
23,25000000.0,0.724
24,26000000.0,0.727
25,27000000.0,0.73
26,28000000.0,0.733
27,29000000.0,0.736
28,30000000.0,0.739
29,32000000.0,0.744
30,34000000.0,0.751
31,36000000.0,0.754
32,38000000.0,0.759
33,40000000.0,0.764
34,42000000.0,0.768
35,44000000.0,0.772
36,46000000.0,0.776
37,48000000.0,0.779
38,50000000.0,0.782
39,52000000.0,0.785
40,54000000.0,0.795
41,56000000.0,0.797
42,58000000.0,0.798
43,60000000.0,0.801
