,x,y
0,1e-05,0.956
1,8500.0,0.955
2,45000.0,0.954
3,85000.0,0.953
4,150486.6,0.952
5,200000.0,0.95
6,300973.1,0.948
7,399703.8,0.945
8,511900.0,0.942
9,534092.3,0.941
10,578347.2,0.94
11,599111.9,0.939
12,666845.8,0.938
13,733000.0,0.936
14,799750.0,0.934
15,899875.0,0.931
16,1000000.0,0.928
17,1133600.0,0.925
18,1193350.0,0.923
19,1229200.0,0.922
20,1500000.0,0.915
21,1562100.0,0.913
22,1706100.0,0.909
23,1800000.0,0.907
24,1915762.0,0.903
25,2008300.0,0.901
26,2084300.0,0.899
27,2194800.0,0.896
28,2306000.0,0.893
29,2366000.0,0.891
30,2500000.0,0.887
31,3000000.0,0.874
32,4000000.0,0.847
33,5000000.0,0.819
34,6500000.0,0.778
35,8000000.0,0.737
36,9561000.0,0.695
37,10000000.0,0.683
38,10500000.0,0.669
39,12003910.0,0.628
40,14000000.0,0.574
41,14500000.0,0.56
42,21000000.0,0.556
43,23000000.0,0.55
44,24000000.0,0.549
45,25000000.0,0.544
46,26000000.0,0.542
47,27000000.0,0.541
48,28000000.0,0.536
49,29000000.0,0.535
50,30000000.0,0.534
51,32000000.0,0.529
52,34000000.0,0.526
53,36000000.0,0.516
54,40000000.0,0.511
55,42000000.0,0.512
56,44000000.0,0.509
57,46000000.0,0.51
58,48000000.0,0.508
59,50000000.0,0.506
60,52000000.0,0.503
61,54000000.0,0.505
62,56000000.0,0.494
63,58000000.0,0.495
64,60000000.0,0.502
