,x,y
0,1e-05,0.847
1,1000.0,0.846
2,5000.0,0.845
3,20000.0,0.844
4,50000.0,0.843
5,100000.0,0.842
6,200000.0,0.842
7,300000.0,0.838
8,400000.0,0.834
9,500000.0,0.83
10,600000.0,0.825
11,700000.0,0.822
12,800000.0,0.819
13,900000.0,0.818
14,1000000.0,0.816
15,1200000.0,0.813
16,1400000.0,0.81
17,1600000.0,0.806
18,1800000.0,0.803
19,2000000.0,0.8
20,2200000.0,0.797
21,2400000.0,0.795
22,2600000.0,0.793
23,2800000.0,0.791
24,3000000.0,0.79
25,3200000.0,0.789
26,3400000.0,0.788
27,3600000.0,0.786
28,3800000.0,0.785
29,4000000.0,0.784
30,4200000.0,0.782
31,4400000.0,0.78
32,4600000.0,0.778
33,4800000.0,0.776
34,5000000.0,0.774
35,5200000.0,0.771
36,5400000.0,0.768
37,5600000.0,0.766
38,5800000.0,0.763
39,6000000.0,0.76
40,6200000.0,0.757
41,6400000.0,0.754
42,6600000.0,0.752
43,6800000.0,0.748
44,7000000.0,0.747
45,7400000.0,0.743
46,7600000.0,0.744
47,7800000.0,0.743
48,8000000.0,0.743
49,8500000.0,0.746
50,9000000.0,0.75
51,9500000.0,0.754
52,10000000.0,0.756
53,10500000.0,0.756
54,11000000.0,0.754
55,11500000.0,0.751
56,12000000.0,0.746
57,12500000.0,0.74
58,13000000.0,0.734
59,13500000.0,0.727
60,14000000.0,0.718
61,14500000.0,0.71
62,15000000.0,0.702
63,16000000.0,0.69
64,17000000.0,0.683
65,18000000.0,0.679
66,19000000.0,0.677
67,20000000.0,0.675
68,21000000.0,0.672
69,22000000.0,0.668
70,23000000.0,0.664
71,24000000.0,0.66
72,25000000.0,0.656
73,26000000.0,0.668
74,27000000.0,0.665
75,28000000.0,0.664
76,29000000.0,0.662
77,30000000.0,0.659
78,32000000.0,0.656
79,34000000.0,0.651
80,36000000.0,0.644
81,38000000.0,0.641
82,40000000.0,0.637
83,42000000.0,0.644
84,44000000.0,0.645
85,46000000.0,0.642
86,50000000.0,0.644
87,52000000.0,0.645
88,54000000.0,0.641
89,56000000.0,0.639
90,58000000.0,0.647
91,60000000.0,0.651
