,x,y
0,1e-05,0.156
1,2000.0,0.157
2,5000.0,0.158
3,10000.0,0.16
4,20000.0,0.162
5,50000.0,0.168
6,200000.0,0.174
7,300000.0,0.179
8,400000.0,0.189
9,500000.0,0.195
10,600000.0,0.202
11,700000.0,0.207
12,800000.0,0.212
13,900000.0,0.218
14,1000000.0,0.223
15,1200000.0,0.235
16,1400000.0,0.249
17,1600000.0,0.255
18,1800000.0,0.261
19,2000000.0,0.27
20,2200000.0,0.277
21,2400000.0,0.275
22,2600000.0,0.273
23,2800000.0,0.272
24,3000000.0,0.271
25,3200000.0,0.272
26,3400000.0,0.274
27,3600000.0,0.275
28,3800000.0,0.276
29,4000000.0,0.277
30,4200000.0,0.279
31,4400000.0,0.281
32,4600000.0,0.282
33,4800000.0,0.285
34,5000000.0,0.287
35,5200000.0,0.289
36,5400000.0,0.293
37,5600000.0,0.295
38,5800000.0,0.299
39,6000000.0,0.301
40,6200000.0,0.305
41,6400000.0,0.308
42,6600000.0,0.311
43,6800000.0,0.313
44,7000000.0,0.316
45,7400000.0,0.317
46,7800000.0,0.315
47,8000000.0,0.314
48,8500000.0,0.305
49,9000000.0,0.296
50,9500000.0,0.288
51,10000000.0,0.283
52,10500000.0,0.28
53,11000000.0,0.281
54,11500000.0,0.283
55,12000000.0,0.286
56,12500000.0,0.29
57,13000000.0,0.295
58,13500000.0,0.302
59,14000000.0,0.309
60,14500000.0,0.318
61,15000000.0,0.327
62,16000000.0,0.342
63,17000000.0,0.348
64,18000000.0,0.349
65,19000000.0,0.348
66,20000000.0,0.345
67,23000000.0,0.346
68,24000000.0,0.348
69,26000000.0,0.351
70,27000000.0,0.353
71,29000000.0,0.356
72,30000000.0,0.358
73,32000000.0,0.359
74,34000000.0,0.365
75,36000000.0,0.371
76,38000000.0,0.375
77,40000000.0,0.378
78,44000000.0,0.382
79,46000000.0,0.386
80,48000000.0,0.385
81,50000000.0,0.384
82,52000000.0,0.388
83,54000000.0,0.39
84,60000000.0,0.39
