,x,y
0,1e-05,0.5
1,28750.0,0.499
2,85000.0,0.498
3,148080.0,0.497
4,200000.0,0.496
5,262500.0,0.495
6,307107.0,0.494
7,365165.2,0.493
8,425000.0,0.492
9,475000.0,0.491
10,533297.0,0.49
11,589738.0,0.489
12,642735.0,0.488
13,700000.0,0.487
14,775000.0,0.486
15,825000.0,0.485
16,875000.0,0.484
17,925000.0,0.483
18,1000000.0,0.482
19,1062500.0,0.481
20,1093750.0,0.48
21,1156250.0,0.479
22,1250000.0,0.478
23,1312500.0,0.476
24,1375000.0,0.475
25,1437500.0,0.474
26,1500000.0,0.473
27,1562500.0,0.472
28,1625000.0,0.471
29,1687500.0,0.47
30,1750000.0,0.469
31,1812500.0,0.468
32,1875000.0,0.466
33,1937500.0,0.465
34,2000000.0,0.464
35,2062500.0,0.463
36,2125000.0,0.462
37,2187500.0,0.461
38,2250000.0,0.46
39,2312500.0,0.459
40,2375000.0,0.457
41,2437500.0,0.456
42,2500000.0,0.455
43,2562500.0,0.454
44,2625000.0,0.453
45,2687500.0,0.452
46,2750000.0,0.451
47,2812500.0,0.45
48,2875000.0,0.448
49,2937500.0,0.447
50,3000000.0,0.446
51,3062500.0,0.445
52,3125000.0,0.444
53,3187500.0,0.443
54,3250000.0,0.442
55,3312500.0,0.441
56,3375000.0,0.439
57,3437500.0,0.438
58,3500000.0,0.437
59,3562500.0,0.436
60,3625000.0,0.435
61,3687500.0,0.434
62,3750000.0,0.433
63,3812500.0,0.432
64,3875000.0,0.431
65,3937500.0,0.429
66,4000000.0,0.428
67,4062500.0,0.427
68,4125000.0,0.426
69,4187500.0,0.425
70,4250000.0,0.424
71,4312500.0,0.423
72,4375000.0,0.422
73,4437500.0,0.42
74,4500000.0,0.419
75,4562500.0,0.418
76,4625000.0,0.417
77,4687500.0,0.416
78,4750000.0,0.415
79,4812500.0,0.414
80,4875000.0,0.413
81,4937500.0,0.411
82,5000000.0,0.41
83,5062500.0,0.409
84,5125000.0,0.408
85,5187500.0,0.407
86,5250000.0,0.406
87,5312500.0,0.405
88,5375000.0,0.404
89,5437500.0,0.403
90,5500000.0,0.401
91,5625000.0,0.399
92,5750000.0,0.397
93,5875000.0,0.395
94,6000000.0,0.392
95,6125000.0,0.39
96,6250000.0,0.388
97,6375000.0,0.386
98,6500000.0,0.383
99,6625000.0,0.381
100,6750000.0,0.379
101,6875000.0,0.377
102,7000000.0,0.374
103,7194345.0,0.371
104,7388690.0,0.368
105,7500000.0,0.366
106,7750000.0,0.361
107,8000000.0,0.357
108,8250000.0,0.352
109,8500000.0,0.348
110,8750000.0,0.343
111,9000000.0,0.339
112,9500000.0,0.33
113,9875000.0,0.323
114,10250000.0,0.316
115,10625000.0,0.309
116,11000000.0,0.303
117,11500000.0,0.294
118,12000000.0,0.285
119,12250000.0,0.28
120,12500000.0,0.276
121,12750000.0,0.271
122,13000000.0,0.267
123,13322650.0,0.261
124,13645300.0,0.255
125,13822650.0,0.252
126,14000000.0,0.249
127,14250000.0,0.244
128,14500000.0,0.24
129,21000000.0,0.249
130,22000000.0,0.248
131,23000000.0,0.247
132,25000000.0,0.246
133,27000000.0,0.247
134,30000000.0,0.229
135,36000000.0,0.22
136,38000000.0,0.223
137,40000000.0,0.229
138,42000000.0,0.231
139,44000000.0,0.235
140,46000000.0,0.239
141,48000000.0,0.244
142,50000000.0,0.246
143,52000000.0,0.308
144,54000000.0,0.311
145,56000000.0,0.315
146,58000000.0,0.319
147,60000000.0,0.322
