,x,y
0,1e-05,0.984
1,100000.0,0.983
2,300000.0,0.982
3,465000.0,0.981
4,700000.0,0.979
5,1000000.0,0.978
6,1500000.0,0.974
7,2150000.0,0.97
8,3000000.0,0.965
9,4650000.0,0.954
10,7000000.0,0.939
11,10000000.0,0.919
12,12000000.0,0.906
13,13000000.0,0.9
14,14000000.0,0.893
15,15000000.0,0.89
16,21000000.0,0.889
17,22000000.0,0.888
18,23000000.0,0.887
19,24000000.0,0.885
20,25000000.0,0.884
21,26000000.0,0.882
22,27000000.0,0.88
23,28000000.0,0.879
24,29000000.0,0.878
25,30000000.0,0.877
26,32000000.0,0.875
27,34000000.0,0.874
28,36000000.0,0.872
29,38000000.0,0.871
30,40000000.0,0.875
31,42000000.0,0.874
32,44000000.0,0.876
33,50000000.0,0.878
34,52000000.0,0.879
35,56000000.0,0.88
36,58000000.0,0.882
37,60000000.0,0.883
