,x,y
0,1e-05,0.076
1,25000.0,0.077
2,69910.16,0.078
3,93118.18,0.079
4,149749.5,0.08
5,199391.9,0.082
6,295267.1,0.085
7,356767.9,0.087
8,400079.1,0.088
9,499936.5,0.091
10,533997.1,0.092
11,598111.1,0.094
12,622153.9,0.095
13,662533.2,0.096
14,797191.8,0.1
15,807332.2,0.101
16,851274.0,0.102
17,878315.1,0.103
18,945917.8,0.105
19,972958.9,0.106
20,1034900.0,0.108
21,1080000.0,0.109
22,1168550.0,0.112
23,1277200.0,0.115
24,1500000.0,0.122
25,1800000.0,0.131
26,2100000.0,0.14
27,2200000.0,0.143
28,2500000.0,0.152
29,3000000.0,0.168
30,4000000.0,0.198
31,5000000.0,0.229
32,6500000.0,0.275
33,8000000.0,0.321
34,9312000.0,0.361
35,10000000.0,0.382
36,10500000.0,0.397
37,11990230.0,0.443
38,12003910.0,0.444
39,14000000.0,0.505
40,15000000.0,0.52
41,21000000.0,0.527
42,22000000.0,0.528
43,23000000.0,0.535
44,25000000.0,0.54
45,26000000.0,0.543
46,28000000.0,0.55
47,30000000.0,0.551
48,32000000.0,0.557
49,34000000.0,0.563
50,36000000.0,0.569
51,38000000.0,0.57
52,40000000.0,0.575
53,42000000.0,0.577
54,44000000.0,0.503
55,48000000.0,0.5
56,50000000.0,0.495
57,52000000.0,0.491
58,54000000.0,0.494
59,56000000.0,0.489
60,58000000.0,0.485
61,60000000.0,0.479
