,x,y
0,1e-05,0.985
1,1509.7,0.991
2,2000.0,0.521
3,5000.0,0.52
4,10000.0,0.518
5,20000.0,0.517
6,50000.0,0.515
7,100000.0,0.513
8,200000.0,0.507
9,300000.0,0.501
10,400000.0,0.495
11,500000.0,0.491
12,600000.0,0.487
13,700000.0,0.484
14,800000.0,0.48
15,900000.0,0.477
16,1000000.0,0.474
17,1200000.0,0.464
18,1400000.0,0.453
19,1600000.0,0.445
20,1800000.0,0.439
21,2000000.0,0.453
22,2200000.0,0.457
23,2400000.0,0.455
24,2600000.0,0.451
25,2800000.0,0.445
26,3000000.0,0.439
27,3200000.0,0.434
28,3400000.0,0.429
29,3600000.0,0.424
30,3800000.0,0.42
31,4000000.0,0.418
32,4200000.0,0.416
33,4400000.0,0.415
34,4600000.0,0.414
35,4800000.0,0.414
36,5000000.0,0.413
37,5200000.0,0.413
38,5400000.0,0.412
39,5600000.0,0.411
40,5800000.0,0.411
41,6000000.0,0.41
42,6200000.0,0.408
43,6400000.0,0.407
44,6600000.0,0.406
45,6800000.0,0.405
46,7000000.0,0.402
47,7200000.0,0.401
48,7400000.0,0.4
49,7600000.0,0.4
50,7800000.0,0.399
51,8000000.0,0.399
52,8500000.0,0.402
53,9000000.0,0.408
54,9500000.0,0.415
55,10000000.0,0.419
56,10500000.0,0.422
57,11000000.0,0.423
58,11500000.0,0.422
59,12000000.0,0.42
60,12500000.0,0.417
61,13000000.0,0.413
62,13500000.0,0.409
63,14000000.0,0.403
64,14500000.0,0.397
65,15000000.0,0.389
66,16000000.0,0.376
67,17000000.0,0.365
68,18000000.0,0.362
69,19000000.0,0.363
70,20000000.0,0.362
71,21000000.0,0.364
72,22000000.0,0.364
73,23000000.0,0.365
74,24000000.0,0.363
75,25000000.0,0.364
76,26000000.0,0.362
77,27000000.0,0.362
78,28000000.0,0.362
79,29000000.0,0.359
80,30000000.0,0.358
81,32000000.0,0.356
82,34000000.0,0.352
83,36000000.0,0.351
84,38000000.0,0.346
85,40000000.0,0.346
86,42000000.0,0.342
87,44000000.0,0.335
88,46000000.0,0.339
89,48000000.0,0.338
90,50000000.0,0.332
91,52000000.0,0.331
92,54000000.0,0.329
93,56000000.0,0.33
94,58000000.0,0.329
95,60000000.0,0.326
