,x,y
0,1e-05,0.556
1,174108.1,0.557
2,292581.1,0.558
3,412369.1,0.559
4,503098.1,0.56
5,633707.4,0.561
6,798224.2,0.562
7,1000000.0,0.564
8,1091140.0,0.565
9,1208238.0,0.566
10,1264960.0,0.567
11,1385526.0,0.568
12,1500000.0,0.569
13,1591320.0,0.57
14,1699600.0,0.571
15,1840800.0,0.572
16,1942630.0,0.573
17,2051990.0,0.574
18,2103979.0,0.575
19,2286409.0,0.576
20,2400773.0,0.577
21,2500877.0,0.578
22,2617276.0,0.579
23,2742990.0,0.58
24,2887029.0,0.582
25,3000000.0,0.583
26,3159157.0,0.584
27,3298837.0,0.586
28,3461669.0,0.587
29,3645063.0,0.589
30,3818410.0,0.59
31,4214764.0,0.594
32,4398681.0,0.596
33,4604650.0,0.598
34,4798255.0,0.6
35,5000000.0,0.601
36,5115259.0,0.603
37,5323393.0,0.605
38,5546905.0,0.607
39,5704656.0,0.608
40,5949946.0,0.61
41,6058367.0,0.611
42,6221622.0,0.613
43,6326510.0,0.614
44,6550380.0,0.616
45,6707543.0,0.617
46,6901124.0,0.619
47,7117821.0,0.621
48,7328798.0,0.623
49,7561790.0,0.625
50,7777810.0,0.627
51,8000000.0,0.629
52,8239069.0,0.632
53,8423047.0,0.633
54,8706746.0,0.636
55,9000000.0,0.639
56,9486833.0,0.643
57,10000000.0,0.648
58,10993700.0,0.657
59,11211370.0,0.659
60,11442430.0,0.662
61,11741770.0,0.664
62,12000000.0,0.667
63,12166230.0,0.668
64,12280890.0,0.669
65,12454950.0,0.671
66,12615590.0,0.672
67,12806350.0,0.674
68,13000000.0,0.676
69,13243100.0,0.678
70,13428400.0,0.68
71,13711220.0,0.683
72,14000000.0,0.685
73,15000000.0,0.69
74,21000000.0,0.698
75,22000000.0,0.69
76,23000000.0,0.692
77,24000000.0,0.686
78,25000000.0,0.688
79,26000000.0,0.679
80,27000000.0,0.68
81,28000000.0,0.677
82,29000000.0,0.674
83,30000000.0,0.672
84,32000000.0,0.667
85,34000000.0,0.669
86,36000000.0,0.666
87,38000000.0,0.668
88,40000000.0,0.665
89,42000000.0,0.668
90,44000000.0,0.665
91,46000000.0,0.663
92,48000000.0,0.667
93,50000000.0,0.663
94,52000000.0,0.661
95,54000000.0,0.667
96,56000000.0,0.664
97,58000000.0,0.661
98,60000000.0,0.66
