,x,y
0,1e-05,0.871
1,31119.0,0.978
2,100000.0,0.977
3,150000.0,0.976
4,220000.0,0.975
5,300000.0,0.974
6,470000.0,0.97
7,700000.0,0.966
8,1000000.0,0.959
9,1500000.0,0.946
10,2200000.0,0.923
11,3000000.0,0.891
12,4700000.0,0.801
13,7000000.0,0.631
14,10000000.0,0.374
15,12000000.0,0.223
16,13000000.0,0.162
17,14000000.0,0.112
18,15000000.0,0.091
19,21000000.0,0.092
20,22000000.0,0.094
21,23000000.0,0.096
22,25000000.0,0.097
23,26000000.0,0.099
24,27000000.0,0.098
25,28000000.0,0.099
26,29000000.0,0.1
27,34000000.0,0.101
28,36000000.0,0.099
29,40000000.0,0.1
30,42000000.0,0.099
31,44000000.0,0.098
32,46000000.0,0.1
33,52000000.0,0.101
34,54000000.0,0.1
35,60000000.0,0.101
