,x,y
0,1e-05,0.982
1,13125.0,0.981
2,47500.0,0.98
3,90000.0,0.979
4,125961.0,0.978
5,150486.6,0.977
6,199851.9,0.976
7,250000.0,0.975
8,298676.9,0.973
9,396654.3,0.97
10,499629.8,0.967
11,596911.4,0.965
12,670184.3,0.962
13,711030.0,0.961
14,792721.3,0.959
15,896360.6,0.956
16,1000000.0,0.953
17,1240120.0,0.946
18,1308294.0,0.944
19,1353792.0,0.942
20,1425022.0,0.94
21,1500000.0,0.938
22,1750000.0,0.931
23,2000000.0,0.924
24,2060580.0,0.922
25,2075532.0,0.921
26,2299810.0,0.915
27,2322236.0,0.914
28,2399930.0,0.912
29,2450120.0,0.911
30,2512922.0,0.909
31,2569194.0,0.907
32,2619464.0,0.906
33,2684093.0,0.904
34,2739409.0,0.902
35,2802354.0,0.9
36,2850510.0,0.899
37,2924300.0,0.897
38,3000000.0,0.895
39,3080280.0,0.892
40,3155830.0,0.89
41,3250738.0,0.887
42,3336120.0,0.885
43,3448988.0,0.882
44,3513482.0,0.88
45,3629262.0,0.876
46,3752657.0,0.873
47,3839187.0,0.87
48,3972830.0,0.866
49,4000000.0,0.865
50,4082780.0,0.863
51,4160242.0,0.861
52,4256965.0,0.858
53,4343440.0,0.856
54,4454708.0,0.852
55,4550022.0,0.849
56,4658570.0,0.846
57,4773223.0,0.843
58,4853009.0,0.841
59,4975257.0,0.837
60,5000000.0,0.836
61,5084387.0,0.834
62,5163069.0,0.832
63,5211775.0,0.83
64,5304340.0,0.828
65,5386682.0,0.825
66,5459779.0,0.823
67,5553132.0,0.82
68,5632490.0,0.818
69,5722201.0,0.815
70,5790421.0,0.813
71,5894279.0,0.81
72,6000000.0,0.807
73,6083675.0,0.805
74,6154603.0,0.803
75,6234566.0,0.8
76,6321393.0,0.798
77,6400570.0,0.796
78,6480740.0,0.793
79,6571119.0,0.791
80,6647731.0,0.788
81,6734101.0,0.786
82,6827885.0,0.783
83,6913407.0,0.781
84,7000000.0,0.778
85,7117819.0,0.775
86,7241398.0,0.771
87,7326884.0,0.769
88,7457055.0,0.765
89,7483310.0,0.764
90,7609265.0,0.76
91,7737340.0,0.757
92,7966755.0,0.75
93,8000000.0,0.749
94,8242640.0,0.742
95,8485280.0,0.735
96,9000000.0,0.72
97,9240211.0,0.713
98,9424567.0,0.708
99,9708021.0,0.699
100,10000000.0,0.691
101,10870500.0,0.666
102,11000000.0,0.662
103,12000000.0,0.633
104,14000000.0,0.575
105,15000000.0,0.56
106,21000000.0,0.566
107,22000000.0,0.57
108,23000000.0,0.575
109,24000000.0,0.578
110,25000000.0,0.582
111,26000000.0,0.585
112,27000000.0,0.588
113,28000000.0,0.591
114,29000000.0,0.595
115,30000000.0,0.599
116,32000000.0,0.604
117,34000000.0,0.61
118,36000000.0,0.614
119,38000000.0,0.619
120,40000000.0,0.624
121,42000000.0,0.627
122,44000000.0,0.631
123,46000000.0,0.632
124,48000000.0,0.637
125,50000000.0,0.639
126,54000000.0,0.643
127,56000000.0,0.647
128,60000000.0,0.646
