,x,y
0,1e-05,0.5
1,30000.0,0.501
2,100000.0,0.502
3,150000.0,0.503
4,215000.0,0.504
5,300000.0,0.505
6,465000.0,0.508
7,700000.0,0.513
8,1000000.0,0.518
9,1500000.0,0.527
10,2150000.0,0.539
11,3000000.0,0.554
12,4650000.0,0.583
13,7000000.0,0.626
14,10000000.0,0.679
15,12000000.0,0.715
16,13000000.0,0.733
17,14000000.0,0.751
18,15000000.0,0.76
19,21000000.0,0.758
20,22000000.0,0.757
21,23000000.0,0.756
22,24000000.0,0.753
23,26000000.0,0.752
24,27000000.0,0.751
25,29000000.0,0.749
26,30000000.0,0.75
27,32000000.0,0.732
28,36000000.0,0.73
29,38000000.0,0.727
30,40000000.0,0.725
31,42000000.0,0.723
32,44000000.0,0.721
33,46000000.0,0.718
34,50000000.0,0.715
35,52000000.0,0.713
36,56000000.0,0.71
37,58000000.0,0.708
38,60000000.0,0.708
