,x,y
0,1e-05,0.999
1,15037.51,0.999
2,25154.91,0.998
3,50272.56,0.998
4,60061.0,0.997
5,71543.57,0.997
6,90116.99,0.996
7,100470.7,0.996
8,150000.0,0.994
9,195072.9,0.992
10,250000.0,0.99
11,298676.9,0.989
12,399872.3,0.985
13,700818.5,0.974
14,1000000.0,0.963
15,1500000.0,0.945
16,2000000.0,0.927
17,3000000.0,0.891
18,4000000.0,0.855
19,6000000.0,0.782
20,12000000.0,0.565
21,20000000.0,0.475
22,21000000.0,0.476
23,22000000.0,0.475
24,23000000.0,0.476
25,24000000.0,0.475
26,26000000.0,0.476
27,27000000.0,0.475
28,28000000.0,0.475
29,29000000.0,0.476
30,30000000.0,0.475
31,32000000.0,0.476
32,34000000.0,0.475
33,36000000.0,0.474
34,38000000.0,0.476
35,40000000.0,0.475
36,42000000.0,0.477
37,44000000.0,0.479
38,46000000.0,0.478
39,48000000.0,0.48
40,50000000.0,0.481
41,52000000.0,0.483
42,54000000.0,0.482
43,58000000.0,0.484
44,60000000.0,0.485
