,x,y
0,1e-05,0.984
1,100000.0,0.983
2,300000.0,0.982
3,465000.0,0.981
4,700000.0,0.979
5,1000000.0,0.978
6,1500000.0,0.974
7,2150000.0,0.97
8,3000000.0,0.965
9,4650000.0,0.954
10,7000000.0,0.939
11,10000000.0,0.919
12,12000000.0,0.906
13,13000000.0,0.9
14,14000000.0,0.893
15,15000000.0,0.89
16,21000000.0,0.885
17,22000000.0,0.879
18,23000000.0,0.874
19,24000000.0,0.869
20,25000000.0,0.865
21,26000000.0,0.861
22,27000000.0,0.857
23,28000000.0,0.853
24,29000000.0,0.85
25,30000000.0,0.847
26,32000000.0,0.839
27,34000000.0,0.834
28,36000000.0,0.827
29,38000000.0,0.823
30,40000000.0,0.82
31,42000000.0,0.816
32,44000000.0,0.814
33,46000000.0,0.812
34,48000000.0,0.809
35,50000000.0,0.807
36,52000000.0,0.806
37,54000000.0,0.807
38,56000000.0,0.805
39,58000000.0,0.803
40,60000000.0,0.803
