,x,y
0,1e-05,0.35
1,30000.0,0.351
2,100000.0,0.352
3,150000.0,0.353
4,215000.0,0.354
5,300000.0,0.356
6,465000.0,0.359
7,700000.0,0.364
8,1000000.0,0.37
9,1500000.0,0.38
10,2150000.0,0.393
11,3000000.0,0.41
12,4650000.0,0.443
13,7000000.0,0.49
14,10000000.0,0.55
15,12000000.0,0.59
16,13000000.0,0.61
17,14000000.0,0.63
18,15000000.0,0.64
19,21000000.0,0.638
20,22000000.0,0.635
21,23000000.0,0.633
22,24000000.0,0.629
23,25000000.0,0.627
24,26000000.0,0.624
25,27000000.0,0.622
26,28000000.0,0.62
27,29000000.0,0.616
28,30000000.0,0.615
29,32000000.0,0.61
30,34000000.0,0.604
31,36000000.0,0.601
32,38000000.0,0.598
33,40000000.0,0.595
34,42000000.0,0.593
35,44000000.0,0.594
36,46000000.0,0.59
37,50000000.0,0.591
38,52000000.0,0.587
39,54000000.0,0.586
40,56000000.0,0.589
41,58000000.0,0.59
42,60000000.0,0.585
