,x,y
0,1e-05,0.007
1,50000.0,0.011
2,100000.0,0.022
3,200000.0,0.045
4,300000.0,0.07
5,400000.0,0.096
6,500000.0,0.118
7,600000.0,0.135
8,700000.0,0.149
9,800000.0,0.162
10,900000.0,0.174
11,1000000.0,0.208
12,1200000.0,0.23
13,1400000.0,0.234
14,1600000.0,0.242
15,1800000.0,0.134
16,2000000.0,0.121
17,2200000.0,0.115
18,2400000.0,0.117
19,2600000.0,0.118
20,2800000.0,0.126
21,3000000.0,0.14
22,3200000.0,0.154
23,3400000.0,0.171
24,3600000.0,0.185
25,3800000.0,0.194
26,4000000.0,0.204
27,4200000.0,0.214
28,4400000.0,0.219
29,4600000.0,0.229
30,4800000.0,0.233
31,5000000.0,0.237
32,5200000.0,0.246
33,5600000.0,0.258
34,5800000.0,0.259
35,6000000.0,0.263
36,6200000.0,0.274
37,6400000.0,0.272
38,6600000.0,0.288
39,6800000.0,0.287
40,7000000.0,0.286
41,7200000.0,0.302
42,7400000.0,0.292
43,7600000.0,0.311
44,7800000.0,0.305
45,8000000.0,0.299
46,8500000.0,0.303
47,9000000.0,0.306
48,9500000.0,0.307
49,10500000.0,0.309
50,11000000.0,0.314
51,11500000.0,0.321
52,12000000.0,0.328
53,12500000.0,0.335
54,13000000.0,0.343
55,13500000.0,0.35
56,14000000.0,0.36
57,14500000.0,0.37
58,15000000.0,0.377
59,16000000.0,0.392
60,17000000.0,0.395
61,18000000.0,0.394
62,19000000.0,0.389
63,20000000.0,0.384
64,21000000.0,0.383
65,22000000.0,0.38
66,23000000.0,0.378
67,24000000.0,0.375
68,25000000.0,0.376
69,26000000.0,0.371
70,27000000.0,0.37
71,28000000.0,0.371
72,29000000.0,0.367
73,30000000.0,0.366
74,32000000.0,0.361
75,36000000.0,0.352
76,38000000.0,0.351
77,40000000.0,0.352
78,42000000.0,0.344
79,44000000.0,0.341
80,46000000.0,0.342
81,48000000.0,0.338
82,50000000.0,0.337
83,54000000.0,0.335
84,56000000.0,0.327
85,58000000.0,0.324
86,60000000.0,0.331
