,x,y
0,1e-05,0.7
1,7.798001,0.952
2,1000.0,0.713
3,2000.0,0.718
4,5000.0,0.729
5,10000.0,0.737
6,20000.0,0.741
7,50000.0,0.74
8,100000.0,0.733
9,200000.0,0.728
10,300000.0,0.724
11,400000.0,0.721
12,500000.0,0.718
13,800000.0,0.719
14,900000.0,0.72
15,1000000.0,0.718
16,1200000.0,0.71
17,1400000.0,0.712
18,1600000.0,0.715
19,1800000.0,0.716
20,2000000.0,0.713
21,2200000.0,0.706
22,2400000.0,0.697
23,2600000.0,0.686
24,2800000.0,0.672
25,3000000.0,0.655
26,3200000.0,0.635
27,3400000.0,0.613
28,3600000.0,0.589
29,3800000.0,0.564
30,4000000.0,0.54
31,4200000.0,0.516
32,4400000.0,0.495
33,4600000.0,0.476
34,4800000.0,0.46
35,5000000.0,0.447
36,5200000.0,0.437
37,5400000.0,0.43
38,5600000.0,0.426
39,5800000.0,0.425
40,6000000.0,0.428
41,6200000.0,0.433
42,6400000.0,0.44
43,6600000.0,0.45
44,6800000.0,0.459
45,7000000.0,0.472
46,7200000.0,0.484
47,7400000.0,0.493
48,7600000.0,0.503
49,7800000.0,0.508
50,8000000.0,0.512
51,8500000.0,0.513
52,9000000.0,0.507
53,9500000.0,0.498
54,10000000.0,0.487
55,10500000.0,0.475
56,11000000.0,0.464
57,11500000.0,0.452
58,12000000.0,0.441
59,12500000.0,0.429
60,13000000.0,0.419
61,13500000.0,0.408
62,14000000.0,0.398
63,14500000.0,0.388
64,16000000.0,0.387
65,17000000.0,0.386
66,18000000.0,0.384
67,19000000.0,0.383
68,20000000.0,0.382
69,21000000.0,0.381
70,22000000.0,0.38
71,24000000.0,0.379
72,27000000.0,0.378
73,28000000.0,0.377
74,30000000.0,0.376
75,32000000.0,0.375
76,34000000.0,0.374
77,36000000.0,0.373
78,38000000.0,0.371
79,40000000.0,0.37
80,44000000.0,0.368
81,46000000.0,0.367
82,48000000.0,0.368
83,50000000.0,0.366
84,52000000.0,0.365
85,60000000.0,0.362
