,x,y
0,1e-05,0.001
1,15000.0,0.002
2,40000.0,0.003
3,50000.0,0.004
4,70000.0,0.005
5,80000.0,0.006
6,100000.0,0.007
7,400000.0,0.01
8,500000.0,0.012
9,600000.0,0.014
10,700000.0,0.017
11,800000.0,0.019
12,900000.0,0.022
13,1000000.0,0.024
14,1500000.0,0.037
15,2000000.0,0.049
16,2500000.0,0.06
17,3000000.0,0.071
18,4000000.0,0.153
19,4200000.0,0.161
20,4400000.0,0.168
21,4600000.0,0.174
22,4800000.0,0.18
23,5000000.0,0.185
24,5200000.0,0.189
25,5400000.0,0.193
26,5600000.0,0.196
27,5800000.0,0.201
28,6000000.0,0.202
29,6200000.0,0.206
30,6600000.0,0.209
31,6800000.0,0.207
32,7200000.0,0.203
33,7400000.0,0.199
34,7600000.0,0.196
35,7800000.0,0.19
36,8000000.0,0.186
37,8500000.0,0.18
38,9000000.0,0.182
39,9500000.0,0.188
40,10000000.0,0.197
41,10500000.0,0.205
42,11000000.0,0.213
43,11500000.0,0.221
44,12000000.0,0.227
45,12500000.0,0.234
46,13000000.0,0.24
47,13500000.0,0.246
48,14000000.0,0.25
49,14500000.0,0.253
50,15000000.0,0.254
51,16000000.0,0.252
52,17000000.0,0.248
53,18000000.0,0.243
54,19000000.0,0.24
55,20000000.0,0.236
56,21000000.0,0.234
57,22000000.0,0.229
58,23000000.0,0.227
59,24000000.0,0.223
60,25000000.0,0.22
61,26000000.0,0.217
62,27000000.0,0.213
63,28000000.0,0.211
64,29000000.0,0.208
65,30000000.0,0.206
66,32000000.0,0.201
67,34000000.0,0.197
68,36000000.0,0.192
69,38000000.0,0.189
70,40000000.0,0.184
71,42000000.0,0.182
72,44000000.0,0.18
73,46000000.0,0.177
74,48000000.0,0.175
75,50000000.0,0.173
76,52000000.0,0.174
77,54000000.0,0.172
78,56000000.0,0.171
79,58000000.0,0.167
80,60000000.0,0.177
