,x,y
0,1e-05,0.331
1,1000.0,0.335
2,2000.0,0.341
3,5000.0,0.351
4,10000.0,0.358
5,20000.0,0.364
6,50000.0,0.378
7,100000.0,0.398
8,200000.0,0.42
9,300000.0,0.438
10,400000.0,0.467
11,500000.0,0.49
12,600000.0,0.522
13,700000.0,0.546
14,800000.0,0.495
15,1200000.0,0.513
16,1400000.0,0.535
17,1600000.0,0.546
18,1800000.0,0.553
19,2000000.0,0.56
20,2200000.0,0.567
21,2400000.0,0.574
22,2600000.0,0.581
23,2800000.0,0.588
24,3000000.0,0.594
25,3200000.0,0.598
26,3400000.0,0.6
27,3800000.0,0.599
28,4000000.0,0.597
29,4200000.0,0.594
30,4400000.0,0.589
31,4600000.0,0.585
32,4800000.0,0.579
33,5000000.0,0.571
34,5200000.0,0.565
35,5400000.0,0.554
36,5600000.0,0.547
37,5800000.0,0.532
38,6000000.0,0.522
39,6200000.0,0.505
40,6400000.0,0.49
41,6600000.0,0.475
42,6800000.0,0.457
43,7000000.0,0.441
44,7200000.0,0.426
45,7400000.0,0.412
46,7600000.0,0.403
47,7800000.0,0.391
48,8000000.0,0.385
49,8500000.0,0.374
50,9000000.0,0.373
51,9500000.0,0.378
52,10000000.0,0.387
53,10500000.0,0.398
54,11000000.0,0.41
55,11500000.0,0.422
56,12000000.0,0.435
57,12500000.0,0.447
58,13000000.0,0.459
59,13500000.0,0.47
60,14000000.0,0.482
61,14500000.0,0.493
62,15000000.0,0.502
63,16000000.0,0.511
64,18000000.0,0.503
65,19000000.0,0.496
66,20000000.0,0.488
67,21000000.0,0.481
68,22000000.0,0.478
69,23000000.0,0.473
70,24000000.0,0.472
71,25000000.0,0.47
72,26000000.0,0.469
73,27000000.0,0.471
74,28000000.0,0.469
75,29000000.0,0.47
76,30000000.0,0.472
77,32000000.0,0.469
78,34000000.0,0.473
79,36000000.0,0.471
80,38000000.0,0.479
81,40000000.0,0.477
82,42000000.0,0.48
83,44000000.0,0.485
84,48000000.0,0.486
85,50000000.0,0.489
86,52000000.0,0.494
87,56000000.0,0.493
88,58000000.0,0.488
89,60000000.0,0.495
