,x,y
0,1e-05,0.605
1,50000.0,0.604
2,100000.0,0.604
3,200000.0,0.603
4,300000.0,0.603
5,400000.0,0.602
6,500000.0,0.601
7,600000.0,0.6
8,700000.0,0.6
9,800000.0,0.599
10,900000.0,0.598
11,1000000.0,0.597
12,1200000.0,0.596
13,1400000.0,0.594
14,1600000.0,0.593
15,1800000.0,0.591
16,2000000.0,0.59
17,2200000.0,0.589
18,2400000.0,0.587
19,2600000.0,0.586
20,2800000.0,0.584
21,3000000.0,0.583
22,3200000.0,0.581
23,3400000.0,0.58
24,3600000.0,0.578
25,3800000.0,0.577
26,4000000.0,0.575
27,4200000.0,0.574
28,4400000.0,0.572
29,4600000.0,0.571
30,4800000.0,0.569
31,5000000.0,0.568
32,5200000.0,0.566
33,5400000.0,0.565
34,5600000.0,0.563
35,5800000.0,0.562
36,6000000.0,0.56
37,6200000.0,0.559
38,6400000.0,0.557
39,6600000.0,0.556
40,6800000.0,0.554
41,7000000.0,0.553
42,7200000.0,0.552
43,7400000.0,0.55
44,7600000.0,0.549
45,7800000.0,0.547
46,8000000.0,0.546
47,8500000.0,0.542
48,9000000.0,0.538
49,9500000.0,0.534
50,10000000.0,0.531
51,10500000.0,0.527
52,11000000.0,0.523
53,11500000.0,0.52
54,12000000.0,0.516
55,12500000.0,0.512
56,13000000.0,0.509
57,13500000.0,0.505
58,14000000.0,0.501
59,14500000.0,0.497
60,60000000.0,0.497
