,x,y
0,1e-05,0.18
1,21500.0,0.181
2,70000.0,0.182
3,150000.0,0.184
4,215000.0,0.185
5,300000.0,0.187
6,465000.0,0.191
7,700000.0,0.196
8,1000000.0,0.203
9,1500000.0,0.215
10,2150000.0,0.23
11,3000000.0,0.25
12,4650000.0,0.289
13,7000000.0,0.344
14,10000000.0,0.414
15,12000000.0,0.461
16,13000000.0,0.485
17,14000000.0,0.508
18,15000000.0,0.52
19,21000000.0,0.503
20,22000000.0,0.491
21,23000000.0,0.478
22,24000000.0,0.467
23,25000000.0,0.462
24,26000000.0,0.454
25,27000000.0,0.452
26,28000000.0,0.447
27,29000000.0,0.445
28,30000000.0,0.442
29,32000000.0,0.439
30,36000000.0,0.436
31,48000000.0,0.438
32,50000000.0,0.437
33,52000000.0,0.436
34,54000000.0,0.439
35,56000000.0,0.438
36,58000000.0,0.437
37,60000000.0,0.44
