,name,ZA,isomeric_state,half_life,half_life_error,type,daughter_isomeric_state,energy,energy_error,br,br_error
0,n1,1,0,613.9,0.6,beta-,0,782347.0,1.0,1.0,0.0
1,H1,10001,0,NA,NA,stable,NA,NA,NA,NA,NA
2,H2,10002,0,NA,NA,stable,NA,NA,NA,NA,NA
3,H3,10003,0,388789600.0,631152.0,beta-,0,18590.0,2.0,1.0,0.0
4,H4,10004,0,9.90652e-23,1.93823e-23,n,0,2880390.0,0.0,1.0,0.0
5,H5,10005,0,7.99473e-23,2.94542e-23,n,0,200000.0,0.0,1.0,0.0
6,H6,10006,0,2.84812e-22,7.12031e-23,n,0,900000.0,0.0,1.0,0.0
7,H7,10007,0,2.3e-23,6e-25,n n,0,107400.0,0.0,1.0,0.0
8,He3,20003,0,NA,NA,stable,NA,NA,NA,NA,NA
9,He4,20004,0,NA,NA,stable,NA,NA,NA,NA,NA
10,He5,20005,0,7.595e-22,2.53166e-23,alpha,0,890000.0,0.0,1.0,0.0
11,He6,20006,0,0.8067,0.0001,beta-,0,3507800.0,1100.0,1.0,0.0
12,He7,20007,0,3.038e-21,4.05066e-22,n,0,403000.0,0.0,1.0,0.0
13,He8,20008,0,0.1191,0.0012,beta-,0,10651000.0,7000.0,0.84,0.01
14,He8,20008,0,0.1191,0.0012,beta- n,0,8618590.0,7000.0,0.16,0.01
15,He9,20009,0,7e-21,4e-21,n,0,100000.0,0.0,1.0,0.0
16,He10,20010,0,1.519e-21,1.01266e-21,n,0,957680.0,0.0,1.0,0.0
17,Li4,30004,0,7.55721e-23,0.0,p,0,3103000.0,0.0,1.0,0.0
18,Li5,30005,0,3.06868e-22,0.0,alpha,0,1965000.0,0.0,1.0,0.0
19,Li6,30006,0,NA,NA,stable,NA,NA,NA,NA,NA
20,Li7,30007,0,NA,NA,stable,NA,NA,NA,NA,NA
21,Li8,30008,0,0.838,0.006,beta- alpha,0,16097000.0,1000.0,1.0,0.0
22,Li9,30009,0,0.1783,0.0004,beta-,0,13606000.0,2000.0,0.505,0.05
23,Li9,30009,0,0.1783,0.0004,beta- n,0,11941000.0,3000.0,0.495,0.05
24,Li10,30010,0,2e-21,0.0,n,0,26400.0,0.0,1.0,0.0
25,Li11,30011,0,0.00859,0.00014,beta-,0,20551250.0,0.0,1.0,0.0
26,Li12,30012,0,1e-08,0.0,n,0,120000.0,0.0,1.0,0.0
27,Be5,40005,0,1e-09,0.0,p,0,4527000.0,0.0,1.0,0.0
28,Be6,40006,0,4.95326e-21,3.23038e-22,p p,0,1372000.0,0.0,1.0,0.0
29,Be7,40007,0,4598208.0,5184.0,ec/beta+,0,861815.0,18.0,1.0,0.0
30,Be8,40008,0,8.18132e-17,3.67205e-18,alpha,0,91840.0,0.0,1.0,0.0
