Product;;
Product;;
Product;Yield;Error
H1;4.08E-5;4.08E-6
H2;1.347E-5;1.9127E-6
H3;1.42E-4;6.958E-6
He3;1.42E-4;6.958E-6
He4;0.0021919;8.979E-5
He6;4.098E-5;2.7866E-6
He8;6.87E-7;6.87E-8
Li6;4.098E-5;2.7866E-6
Li7;1.505E-6;1.4E-7
Li8;6.0456E-7;6.1561E-8
Li9;1.14E-6;1.14E-7
Be6;6.87E-7;1.2577E-7
Be8;5.7177E-7;5.9473E-8
Be9;1.7157E-6;1.14E-7
Be10;1.05E-5;1.05E-6
Be11;7.52E-7;7.52E-8
Be12;4.73E-7;1.0737E-7
B11;7.2944E-7;7.3178E-8
B12;4.73E-7;1.0737E-7
C8;6.87E-7;6.87E-8
C12;4.6553E-7;1.057E-7
C14;3.01E-6;3.01E-7
Ca50;1.1166E-12;1.187E-12
Sc50;1.1026E-12;1.1752E-12
Sc50m;1.1166E-12;1.187E-12
Sc51;2.1903E-12;2.3061E-12
Sc52;3.1781E-12;3.5351E-12
Sc53;5.0167E-12;5.7874E-12
Sc54;2.5167E-12;3.4416E-12
Sc55;1.7664E-12;2.5099E-12
Ti50;1.1166E-12;1.1852E-12
Ti51;2.1903E-12;2.3061E-12
Ti52;5.4381E-12;5.4471E-12
Ti53;1.0843E-11;1.0832E-11
Ti54;1.896E-11;1.9033E-11
Ti55;2.2045E-11;2.3945E-11
Ti56;2.7428E-11;3.2774E-11
Ti57;1.1408E-11;1.5895E-11
Ti58;5.4455E-12;7.8506E-12
V51;2.1903E-12;2.3061E-12
V52;5.4381E-12;5.4471E-12
V53;1.0843E-11;1.0832E-11
V54;2.1532E-11;2.1489E-11
V55;3.9878E-11;3.9801E-11
V56;6.6868E-11;6.699E-11
V57;1.0587E-10;1.0847E-10
V58;8.7637E-11;1.046E-10
V59;9.2097E-11;1.2094E-10
V60;2.9613E-11;4.2424E-11
V61;1.1613E-11;1.6876E-11
V62;1.4834E-12;2.1588E-12
Cr52;5.4381E-12;5.4471E-12
Cr53;1.0843E-11;1.0832E-11
Cr54;2.1532E-11;2.1489E-11
Cr55;3.9878E-11;3.9801E-11
Cr56;7.5989E-11;7.5778E-11
Cr57;2.1099E-10;1.4202E-10
Cr58;1.8848E-10;1.9483E-10
Cr59;4.0918E-10;4.128E-10
Cr60;6.3741E-10;6.6553E-10
Cr61;4.6101E-10;5.7559E-10
Cr62;3.9621E-10;5.377E-10
Cr63;1.0278E-10;1.4831E-10
Cr64;2.7037E-11;3.9469E-11
Cr65;2.7657E-12;4.0311E-12
Mn55;3.9878E-11;3.9801E-11
Mn56;7.5989E-11;7.5778E-11
Mn57;2.1099E-10;1.4202E-10
Mn58;1.9568E-10;2.0066E-10
Mn59;4.9792E-10;4.9693E-10
Mn60;6.9502E-10;7.1146E-10
Mn60m;2.5311E-10;3.1714E-10
Mn61;1.6186E-9;1.6183E-9
Mn62;1.6575E-9;1.8127E-9
Mn62m;4.601E-10;5.4299E-10
Mn63;2.8703E-9;3.2395E-9
Mn64;1.4519E-9;1.9587E-9
Mn65;1.0308E-9;1.4601E-9
Mn66;2.2113E-10;3.2114E-10
Mn67;4.6817E-11;6.837E-11
Mn68;3.1972E-12;4.6731E-12
Fe56;7.5989E-11;7.5778E-11
Fe57;2.1099E-10;1.4202E-10
Fe58;1.9649E-10;2.0133E-10
Fe59;4.9792E-10;4.9693E-10
Fe60;9.3693E-10;9.3453E-10
Fe61;1.7531E-9;1.7496E-9
Fe62;3.2731E-9;3.2666E-9
Fe63;5.9067E-9;5.8974E-9
Fe64;1.0229E-8;1.0259E-8
Fe65;1.2116E-8;1.3089E-8
Fe66;1.5496E-8;1.8268E-8
Fe67;6.5772E-9;9.1137E-9
Fe68;3.2211E-9;4.6451E-9
Fe69;5.5366E-10;8.0944E-10
Fe70;8.749E-11;1.2859E-10
Fe71;5.5217E-12;5.9142E-12
Co59;4.9792E-10;4.9693E-10
Co61;1.7531E-9;1.7496E-9
Co62;3.2777E-9;3.2712E-9
Co62m;1.0518E-11;1.5283E-11
Co63;6.1609E-9;6.1486E-9
Co64;1.1523E-8;1.15E-8
Co65;2.1324E-8;2.1304E-8
Co66;3.6213E-8;3.6285E-8
Co67;5.7486E-8;5.8841E-8
Co68;3.6491E-8;4.1854E-8
Co68m;2.46E-8;3.0818E-8
Co69;5.248E-8;6.8478E-8
Co70;8.517E-9;1.2389E-8
Co70m;8.6045E-9;1.2449E-8
Co71;7.923E-9;8.4456E-9
Co72;5.0281E-10;2.0811E-10
Co73;1.2555E-10;1.2471E-10
Co74;9.4682E-12;1.289E-11
Ni61;1.7531E-9;1.7496E-9
Ni62;3.2881E-9;3.2814E-9
Ni63;6.1609E-9;6.1486E-9
Ni64;1.1545E-8;1.1522E-8
Ni65;2.1632E-8;2.1608E-8
Ni66;4.0515E-8;4.0475E-8
Ni67;7.5505E-8;7.5506E-8
Ni68;1.3878E-7;1.3894E-7
Ni69;1.3629E-7;1.4541E-7
Ni69m;8.434E-8;1.0273E-7
Ni70;3.4515E-7;3.6249E-7
Ni71;5.3152E-7;4.3278E-7
Ni72;1.2532E-7;4.4138E-8
Ni73;6.6279E-8;6.5027E-8
Ni74;3.6919E-8;5.0173E-8
Ni75;1.7633E-9;2.0422E-9
Ni76;2.1493E-10;2.4987E-10
Ni77;1.0528E-11;4.162E-12
Cu63;6.1609E-9;6.1486E-9
Cu65;2.1632E-8;2.1608E-8
Cu66;4.053E-8;4.0489E-8
Cu67;7.5922E-8;7.592E-8
Cu68;1.4228E-7;1.4234E-7
Cu68m;2.7607E-9;3.9892E-9
Cu69;2.6513E-7;2.662E-7
Cu70;8.0772E-8;9.8048E-8
Cu70m;1.3967E-7;1.6838E-7
Cu70n;3.5609E-7;3.7117E-7
Cu71;1.0551E-6;7.564E-7
Cu72;6.297E-7;1.1329E-7
Cu73;1.8723E-6;1.3855E-6
Cu74;1.3578E-6;1.7213E-6
Cu75;7.4538E-7;8.3131E-7
Cu76;7.8001E-7;8.9006E-7
Cu76m;7.8001E-7;8.9006E-7
Cu77;5.5035E-8;2.173E-8
Cu78;7.9685E-9;3.1941E-9
Cu79;1.5093E-10;8.4405E-10
Cu80;2.5297E-11;1.1083E-11
Zn66;4.053E-8;4.0489E-8
Zn67;7.5922E-8;7.592E-8
Zn68;1.4273E-7;1.4234E-7
Zn69;2.6553E-7;2.6659E-7
Zn69m;3.2183E-10;4.7073E-10
Zn70;4.9746E-7;5.0144E-7
Zn71;1.0695E-6;7.6633E-7
Zn71m;6.1905E-8;6.3998E-8
Zn72;1.1341E-6;1.7012E-7
Zn73;2.9868E-6;1.9924E-6
Zn73m;9.3588E-7;7.2352E-7
Zn73n;1.3834E-6;1.0926E-6
Zn74;1.1291E-5;1.0867E-5
Zn75;8.1788E-6;6.7999E-6
Zn76;1.6352E-5;1.4262E-5
Zn77;1.1418E-5;3.3253E-6
Zn77m;1.6137E-6;5.6488E-7
Zn78;1.8919E-5;6.8525E-6
Zn79;5.3212E-7;2.9734E-6
Zn80;2.6159E-6;1.1426E-6
Zn81;9.616E-9;3.7417E-9
Zn82;3.8304E-10;1.4351E-10
Ga69;2.6553E-7;2.6659E-7
Ga70;7.0531E-12;1.0367E-11
Ga71;1.1318E-6;8.1038E-7
Ga72;1.138E-6;1.707E-7
Ga72m;3.8188E-8;8.4518E-9
Ga73;3.8146E-6;2.5176E-6
Ga74;9.6242E-6;9.3618E-6
Ga74m;1.1952E-5;1.1471E-5
Ga75;1.1898E-5;9.5304E-6
Ga76;2.4934E-5;2.0725E-5
Ga77;5.2493E-5;7.0683E-6
Ga78;9.4496E-5;1.9723E-5
Ga79;2.9575E-5;1.5859E-4
Ga80;5.9934E-5;2.35E-5
Ga81;2.1554E-5;8.2207E-6
Ga82;1.8252E-6;6.8294E-7
Ga83;1.1624E-7;4.5113E-8
Ga84;4.1113E-9;1.8128E-9
Ga85;1.855E-10;7.0717E-11
Ge70;7.0242E-12;1.0325E-11
Ge72;1.138E-6;1.707E-7
Ge73;3.8149E-6;2.5178E-6
Ge73m;3.7586E-6;2.4808E-6
Ge74;1.2635E-5;1.2093E-5
Ge75;1.205E-5;9.6517E-6
Ge75m;6.0779E-7;5.5415E-7
Ge76;2.7274E-5;2.2638E-5
Ge77;3.0894E-5;5.2875E-6
Ge77m;5.5601E-5;7.286E-6
