Product;;
Product;;
Product;Yield;Error
H1;1.711E-5;1.8479E-6
H2;8.4E-6;1.5036E-6
H3;1.08E-4;3.996E-6
He3;1.08E-4;3.996E-6
He4;0.0017021;4.93E-5
He6;2.668E-5;1.8409E-6
Li6;2.668E-5;1.8409E-6
Li8;7.292E-7;1.1813E-7
Li9;4.071E-7;2.8497E-8
Be8;1.3418E-6;1.1813E-7
Be9;6.1268E-7;2.8497E-8
Be10;5.201E-6;2.5485E-7
Be12;1.261E-7;3.0138E-8
B9;4.071E-7;2.8497E-8
B10;5.201E-6;2.5485E-7
B12;2.522E-7;3.0138E-8
C12;2.4822E-7;3.0138E-8
C14;1.578E-6;2.4301E-7
C15;2.528E-7;3.2358E-8
N15;2.528E-7;3.2358E-8
Ne21;2.146E-6;4.3564E-7
Ti56;1.0104E-12;1.1963E-12
V56;2.3225E-12;2.3344E-12
V57;4.1709E-12;4.3079E-12
V58;3.4908E-12;4.339E-12
V59;5.7807E-12;7.4308E-12
V60;1.4853E-12;2.143E-12
Cr56;2.3392E-12;2.3502E-12
Cr57;7.9705E-12;5.5641E-12
Cr58;8.5802E-12;8.8739E-12
Cr59;2.0541E-11;2.0798E-11
Cr60;3.9478E-11;4.0847E-11
Cr61;2.5325E-11;3.2779E-11
Cr62;3.3905E-11;4.5791E-11
Cr63;7.3683E-12;1.0693E-11
Cr64;2.4833E-12;3.6424E-12
Mn56;2.3392E-12;2.3502E-12
Mn57;7.9705E-12;5.5641E-12
Mn58;8.5802E-12;8.8739E-12
Mn59;2.517E-11;2.5221E-11
Mn60;4.2262E-11;4.3135E-11
Mn60m;1.223E-11;1.5757E-11
Mn61;1.0852E-10;1.0884E-10
Mn62;1.2664E-10;1.3807E-10
Mn62m;3.6644E-11;4.3218E-11
Mn63;3.0094E-10;3.268E-10
Mn64;1.3972E-10;1.894E-10
Mn65;1.4878E-10;2.0983E-10
Mn66;2.7372E-11;3.9881E-11
Mn67;7.1178E-12;1.0439E-11
Fe56;2.3392E-12;2.3502E-12
Fe57;7.9705E-12;5.5641E-12
Fe58;8.5802E-12;8.8739E-12
Fe59;2.517E-11;2.5221E-11
Fe60;5.3085E-11;5.3194E-11
Fe61;1.138E-10;1.1402E-10
Fe62;2.4353E-10;2.4402E-10
Fe63;5.0474E-10;5.0587E-10
Fe64;1.0236E-9;1.028E-9
Fe65;1.3022E-9;1.41E-9
Fe66;2.338E-9;2.6642E-9
Fe67;8.7006E-10;1.2138E-9
Fe68;6.6088E-10;9.5092E-10
Fe69;1.0385E-10;1.5142E-10
Fe70;1.993E-11;2.9158E-11
Co59;2.517E-11;2.5221E-11
Co61;1.138E-10;1.1402E-10
Co62;2.4353E-10;2.4402E-10
Co63;5.2037E-10;5.2141E-10
Co64;1.1082E-9;1.1104E-9
Co65;2.3485E-9;2.3532E-9
Co66;4.6689E-9;4.6847E-9
Co67;9.1437E-9;9.2459E-9
Co68;6.4166E-9;7.2968E-9
Co68m;4.3916E-9;5.4232E-9
Co69;1.4241E-8;1.7653E-8
Co70;2.009E-9;2.9051E-9
Co70m;2.0289E-9;2.9188E-9
Co71;2.3729E-9;3.4383E-9
Co72;3.0293E-10;4.3781E-10
Co73;4.6362E-11;2.0991E-11
Co74;2.402E-12;1.0449E-12
Ni61;1.138E-10;1.1402E-10
Ni62;2.4353E-10;2.4402E-10
Ni63;5.2037E-10;5.2141E-10
Ni64;1.1082E-9;1.1104E-9
Ni65;2.3638E-9;2.3685E-9
Ni66;5.0383E-9;5.0484E-9
Ni67;1.0716E-8;1.0737E-8
Ni68;2.2733E-8;2.2779E-8
Ni69;2.8048E-8;2.94E-8
Ni69m;1.395E-8;1.724E-8
Ni70;8.1955E-8;8.3819E-8
Ni71;6.2549E-8;7.7128E-8
Ni72;9.0529E-8;1.1783E-7
Ni73;2.1014E-8;9.2498E-9
Ni74;1.4133E-8;6.1129E-9
Ni75;1.0069E-9;3.911E-10
