,x,y
0,1e-05,0.51
1,46500.0,0.509
2,150000.0,0.508
3,215000.0,0.507
4,300000.0,0.506
5,465000.0,0.504
6,700000.0,0.501
7,1000000.0,0.498
8,1500000.0,0.491
9,2150000.0,0.483
10,3000000.0,0.473
11,4650000.0,0.452
12,7000000.0,0.423
13,10000000.0,0.386
14,12000000.0,0.361
15,13000000.0,0.349
16,14000000.0,0.336
17,15000000.0,0.33
18,21000000.0,0.335
19,22000000.0,0.339
20,23000000.0,0.343
21,24000000.0,0.345
22,25000000.0,0.348
23,26000000.0,0.35
24,27000000.0,0.351
25,28000000.0,0.353
26,29000000.0,0.355
27,30000000.0,0.356
28,32000000.0,0.358
29,38000000.0,0.359
30,46000000.0,0.358
31,48000000.0,0.359
32,50000000.0,0.356
33,52000000.0,0.354
34,54000000.0,0.357
35,56000000.0,0.358
36,58000000.0,0.354
37,60000000.0,0.353
