,x,y
0,1e-05,0.063
1,1.03125e-05,0.063
2,1.058594e-05,0.062
3,1.113282e-05,0.063
4,1.195313e-05,0.063
5,1.25e-05,0.062
6,1.28125e-05,0.063
7,1.3125e-05,0.062
8,1.375e-05,0.063
9,1.4375e-05,0.062
10,1.5625e-05,0.063
11,1.625e-05,0.062
12,1.6875e-05,0.063
13,1.8125e-05,0.063
14,1.875e-05,0.063
15,2.09375e-05,0.063
16,2.28125e-05,0.063
17,2.46875e-05,0.063
18,2.75e-05,0.062
19,2.9375e-05,0.063
20,3.125e-05,0.062
21,3.21875e-05,0.063
22,3.3125e-05,0.063
23,3.40625e-05,0.062
24,3.5e-05,0.063
25,3.59375e-05,0.062
26,4.0625e-05,0.063
27,4.25e-05,0.062
28,4.625e-05,0.063
29,5e-05,0.063
30,5.15625e-05,0.063
31,5.3125e-05,0.062
32,5.46875e-05,0.063
33,5.625e-05,0.062
34,5.78125e-05,0.063
35,5.9375e-05,0.062
36,6.25e-05,0.063
37,6.5625e-05,0.062
38,7.5e-05,0.063
39,7.8125e-05,0.062
40,8.125e-05,0.063
41,9.0625e-05,0.062
42,9.6875e-05,0.063
43,0.000103125,0.063
44,0.00010625,0.063
45,0.0001125,0.062
46,0.000115625,0.063
47,0.00011875,0.062
48,0.000128125,0.063
49,0.00013125,0.062
50,0.000134375,0.063
51,0.00014375,0.063
52,0.00015625,0.062
53,0.00016875,0.063
54,0.000175,0.062
55,0.0002,0.063
56,0.00021875,0.062
57,0.0002375,0.063
58,0.000246875,0.063
59,0.00025625,0.062
60,0.000265625,0.063
61,0.000275,0.063
62,0.00029375,0.062
63,0.0003125,0.063
64,0.00033125,0.062
65,0.000340625,0.063
66,0.00035,0.063
67,0.000359375,0.062
68,0.00036875,0.063
69,0.0003875,0.063
70,0.000396875,0.062
71,0.00040625,0.063
72,0.00044375,0.063
73,0.00048125,0.062
74,0.000515625,0.063
75,0.000546875,0.063
76,0.0005625,0.063
77,0.000578125,0.062
78,0.00059375,0.063
79,0.000609375,0.062
80,0.000640625,0.063
81,0.00065625,0.063
82,0.0006875,0.062
83,0.00071875,0.063
84,0.00078125,0.062
85,0.0008125,0.063
86,0.00084375,0.063
87,0.00090625,0.063
88,0.0009375,0.063
89,0.00096875,0.062
90,0.00103125,0.063
91,0.0010625,0.062
92,0.00109375,0.063
93,0.001125,0.062
94,0.00115625,0.063
95,0.0011875,0.063
96,0.00125,0.062
97,0.0013125,0.063
98,0.00134375,0.062
99,0.001375,0.063
100,0.0014375,0.062
101,0.00175,0.063
102,0.0018125,0.062
103,0.001875,0.063
104,0.0019375,0.062
105,0.002,0.063
106,0.0021875,0.062
107,0.00228125,0.063
108,0.00246875,0.063
109,0.0025625,0.062
110,0.00265625,0.063
111,0.00275,0.063
112,0.00284375,0.062
113,0.0029375,0.063
114,0.003125,0.062
115,0.00321875,0.063
116,0.0033125,0.062
117,0.00340625,0.063
118,0.0035,0.062
119,0.00359375,0.063
120,0.00378125,0.063
121,0.003875,0.063
122,0.0048125,0.062
123,0.005,0.063
124,0.00515625,0.062
125,0.0053125,0.063
126,0.00546875,0.062
127,0.0059375,0.063
128,0.00609375,0.062
129,0.0065625,0.063
130,0.00671875,0.062
131,0.006875,0.063
132,0.0071875,0.062
133,0.0075,0.063
134,0.0078125,0.063
135,0.0084375,0.062
136,0.0096875,0.063
137,0.0103125,0.062
138,0.01125,0.063
139,0.0125,0.062
140,0.013125,0.063
141,0.014375,0.063
142,0.015,0.063
143,0.015625,0.062
144,0.01625,0.063
145,0.016875,0.062
146,0.0175,0.063
147,0.018125,0.063
148,0.01875,0.063
149,0.02,0.062
150,0.0206625,0.063
151,0.021325,0.062
152,0.0233125,0.063
153,0.0246375,0.062
154,0.02761563,0.063
155,0.02993125,0.062
156,0.03108907,0.063
157,0.03224688,0.062
158,0.03340469,0.063
159,0.0345625,0.063
160,0.03552735,0.063
161,0.03649219,0.063
162,0.04035157,0.062
163,0.04228125,0.063
164,0.04421094,0.062
165,0.04807032,0.063
166,0.053125,0.063
167,0.0546875,0.063
168,0.05625,0.062
169,0.059375,0.063
170,0.0640625,0.063
171,0.065625,0.063
172,0.06875,0.063
173,0.071875,0.062
174,0.075,0.063
175,0.078125,0.062
176,0.08125,0.063
177,0.084375,0.063
178,0.0875,0.063
179,0.090625,0.063
180,0.09375,0.062
181,0.103125,0.063
182,0.11875,0.063
183,0.121875,0.063
184,0.128125,0.062
185,0.1375,0.063
186,0.14375,0.062
187,0.15,0.062
188,0.15625,0.063
189,0.1625,0.062
190,0.16875,0.063
191,0.175,0.062
192,0.18125,0.063
193,0.2,0.062
194,0.2056736,0.063
195,0.2283679,0.062
196,0.239715,0.063
197,0.2453885,0.063
198,0.2518726,0.063
199,0.2583567,0.063
200,0.2648408,0.063
201,0.2757826,0.062
202,0.2802404,0.063
203,0.2846982,0.063
204,0.2936138,0.063
205,0.2980716,0.062
206,0.3025294,0.063
207,0.3069871,0.062
208,0.3118502,0.063
209,0.3167132,0.062
210,0.3240078,0.063
211,0.3264393,0.062
212,0.3308971,0.063
213,0.333126,0.062
214,0.3353549,0.063
215,0.3375838,0.062
216,0.3420416,0.063
217,0.3442705,0.062
218,0.3462968,0.063
219,0.3483231,0.063
220,0.3503494,0.063
221,0.3523756,0.062
222,0.3544019,0.063
223,0.3564281,0.062
224,0.3604806,0.063
225,0.3649385,0.062
226,0.3727397,0.063
227,0.3738541,0.062
228,0.3749686,0.063
229,0.3771974,0.063
230,0.3792237,0.063
231,0.3801355,0.062
