,x,y
0,1e-05,0.001
1,30000.0,0.001
2,46500.0,0.001
3,100000.0,0.001
4,150000.0,0.001
5,215000.0,0.001
6,300000.0,0.001
7,465000.0,0.001
8,700000.0,0.001
9,1000000.0,0.001
10,1500000.0,0.001
11,2150000.0,0.001
12,3000000.0,0.002
13,4650000.0,0.002
14,7000000.0,0.002
15,10000000.0,0.003
16,12000000.0,0.004
17,13000000.0,0.004
18,14000000.0,0.004
19,15000000.0,0.004
20,21000000.0,0.005
21,22000000.0,0.005
22,23000000.0,0.005
23,24000000.0,0.006
24,25000000.0,0.006
25,26000000.0,0.007
26,27000000.0,0.007
27,28000000.0,0.007
28,29000000.0,0.008
29,30000000.0,0.008
30,32000000.0,0.009
31,34000000.0,0.01
32,36000000.0,0.011
33,38000000.0,0.012
34,40000000.0,0.012
35,42000000.0,0.013
36,46000000.0,0.014
37,48000000.0,0.014
38,50000000.0,0.015
39,52000000.0,0.015
40,54000000.0,0.015
41,56000000.0,0.015
42,58000000.0,0.016
43,60000000.0,0.016
