,x,y
0,1e-05,0.978
1,3177.3,0.999
2,5000.0,0.94
3,10000.0,0.932
4,20000.0,0.922
5,50000.0,0.896
6,100000.0,0.872
7,200000.0,0.848
8,300000.0,0.827
9,400000.0,0.808
10,500000.0,0.791
11,600000.0,0.775
12,700000.0,0.76
13,800000.0,0.747
14,900000.0,0.726
15,1000000.0,0.722
16,1200000.0,0.713
17,1400000.0,0.703
18,1600000.0,0.686
19,1800000.0,0.666
20,2000000.0,0.676
21,2200000.0,0.696
22,2600000.0,0.691
23,2800000.0,0.68
24,3000000.0,0.669
25,3200000.0,0.659
26,3400000.0,0.651
27,3600000.0,0.643
28,3800000.0,0.636
29,4000000.0,0.63
30,4200000.0,0.625
31,4400000.0,0.621
32,4600000.0,0.615
33,4800000.0,0.612
34,5000000.0,0.607
35,5200000.0,0.602
36,5400000.0,0.599
37,5600000.0,0.592
38,5800000.0,0.591
39,6000000.0,0.582
40,6200000.0,0.579
41,6400000.0,0.577
42,6600000.0,0.571
43,6800000.0,0.573
44,7000000.0,0.565
45,7200000.0,0.566
46,7400000.0,0.571
47,7600000.0,0.566
48,7800000.0,0.574
49,8000000.0,0.567
50,8500000.0,0.573
51,9000000.0,0.58
52,9500000.0,0.586
53,10000000.0,0.587
54,10500000.0,0.583
55,11000000.0,0.576
56,11500000.0,0.566
57,12000000.0,0.554
58,12500000.0,0.543
59,13000000.0,0.531
60,13500000.0,0.517
61,14000000.0,0.504
62,14500000.0,0.487
63,15000000.0,0.473
64,16000000.0,0.447
65,17000000.0,0.435
66,18000000.0,0.434
67,19000000.0,0.436
68,21000000.0,0.439
69,22000000.0,0.441
70,23000000.0,0.44
71,24000000.0,0.441
72,25000000.0,0.439
73,27000000.0,0.437
74,28000000.0,0.436
75,29000000.0,0.438
76,30000000.0,0.434
77,32000000.0,0.436
78,34000000.0,0.433
79,40000000.0,0.432
80,42000000.0,0.43
81,44000000.0,0.434
82,46000000.0,0.506
83,48000000.0,0.503
84,50000000.0,0.51
85,52000000.0,0.513
86,56000000.0,0.512
87,58000000.0,0.517
88,60000000.0,0.519
