,x,y
0,1e-05,0.676
1,269967.6,0.677
2,396833.0,0.679
3,499854.9,0.681
4,600000.0,0.683
5,697353.8,0.685
6,900000.0,0.689
7,950000.0,0.69
8,1000000.0,0.691
9,1097656.0,0.692
10,1101562.0,0.693
11,1250000.0,0.695
12,1400000.0,0.698
13,1550000.0,0.701
14,1650000.0,0.703
15,1750000.0,0.705
16,1850000.0,0.707
17,2000000.0,0.71
18,2250000.0,0.715
19,2550000.0,0.72
20,2600000.0,0.721
21,2875000.0,0.727
22,3000000.0,0.729
23,4000000.0,0.748
24,4500000.0,0.758
25,5000000.0,0.767
26,5500000.0,0.777
27,6000000.0,0.787
28,6500000.0,0.796
29,7000000.0,0.806
30,7500000.0,0.815
31,8000000.0,0.825
32,9000000.0,0.844
33,10000000.0,0.864
34,10500000.0,0.873
35,11000000.0,0.883
36,11250000.0,0.888
37,11500000.0,0.892
38,12015620.0,0.902
39,13000000.0,0.921
40,14000000.0,0.94
41,14500000.0,0.95
42,21000000.0,0.945
43,22000000.0,0.946
44,26000000.0,0.947
45,27000000.0,0.945
46,29000000.0,0.946
47,32000000.0,0.944
48,34000000.0,0.945
49,38000000.0,0.941
50,40000000.0,0.942
51,42000000.0,0.943
52,44000000.0,0.944
53,46000000.0,0.941
54,50000000.0,0.942
55,52000000.0,0.943
56,54000000.0,0.944
57,56000000.0,0.945
58,58000000.0,0.941
59,60000000.0,0.941
