,x,y
0,1e-05,0.667
1,30000.0,0.666
2,220000.0,0.665
3,300000.0,0.664
4,470000.0,0.663
5,700000.0,0.662
6,1000000.0,0.659
7,1500000.0,0.656
8,2200000.0,0.651
9,3000000.0,0.645
10,4700000.0,0.632
11,7000000.0,0.615
12,10000000.0,0.593
13,12000000.0,0.578
14,13000000.0,0.571
15,14000000.0,0.564
16,15000000.0,0.56
17,21000000.0,0.564
18,22000000.0,0.563
19,23000000.0,0.564
20,24000000.0,0.563
21,26000000.0,0.566
22,27000000.0,0.563
23,28000000.0,0.564
24,32000000.0,0.562
25,34000000.0,0.564
26,36000000.0,0.556
27,38000000.0,0.559
28,42000000.0,0.56
29,44000000.0,0.555
30,46000000.0,0.556
31,48000000.0,0.563
32,50000000.0,0.556
33,52000000.0,0.553
34,54000000.0,0.56
35,56000000.0,0.561
36,58000000.0,0.655
37,60000000.0,0.654
