,x,y
0,1e-05,0.133
1,10000.0,0.134
2,70000.0,0.135
3,150000.0,0.136
4,215000.0,0.138
5,300000.0,0.14
6,465000.0,0.143
7,700000.0,0.148
8,1000000.0,0.154
9,1500000.0,0.165
10,2150000.0,0.179
11,3000000.0,0.197
12,4650000.0,0.232
13,7000000.0,0.281
14,10000000.0,0.345
15,12000000.0,0.387
16,13000000.0,0.408
17,14000000.0,0.429
18,15000000.0,0.44
19,21000000.0,0.435
20,22000000.0,0.432
21,23000000.0,0.43
22,24000000.0,0.429
23,27000000.0,0.431
24,29000000.0,0.432
25,30000000.0,0.434
26,34000000.0,0.441
27,38000000.0,0.444
28,42000000.0,0.445
29,44000000.0,0.447
30,46000000.0,0.446
31,48000000.0,0.447
32,50000000.0,0.449
33,52000000.0,0.448
34,56000000.0,0.45
35,58000000.0,0.448
36,60000000.0,0.449
