,x,y
0,1e-05,0.984
1,80000.0,0.983
2,237500.0,0.982
3,395198.5,0.981
4,556373.5,0.98
5,700000.0,0.979
6,850000.0,0.978
7,1003907.0,0.977
8,1171875.0,0.976
9,1312500.0,0.975
10,1468750.0,0.974
11,1625000.0,0.973
12,1781250.0,0.972
13,1937500.0,0.971
14,2092194.0,0.97
15,2245850.0,0.969
16,2399507.0,0.968
17,2553163.0,0.967
18,2704032.0,0.966
19,2854707.0,0.965
20,3015625.0,0.964
21,3164063.0,0.963
22,3320313.0,0.962
23,3476563.0,0.961
24,3632813.0,0.96
25,3781250.0,0.959
26,3937500.0,0.958
27,4095787.0,0.957
28,4243835.0,0.956
29,4400583.0,0.955
30,4557340.0,0.954
31,4709498.0,0.953
32,4861665.0,0.952
33,5015625.0,0.951
34,5171875.0,0.95
35,5328125.0,0.949
36,5484375.0,0.948
37,5640625.0,0.947
38,5796875.0,0.946
39,5953125.0,0.945
40,6000000.0,0.948
41,6085510.0,0.947
42,6165040.0,0.946
43,6263700.0,0.945
44,6351320.0,0.943
45,6465580.0,0.942
46,6530080.0,0.941
47,6644520.0,0.94
48,6764630.0,0.938
49,6847770.0,0.937
50,6948880.0,0.936
51,7058660.0,0.934
52,7169990.0,0.933
53,7268840.0,0.931
54,7397690.0,0.929
55,7502470.0,0.928
56,7591310.0,0.927
57,7691480.0,0.925
58,7800280.0,0.924
59,7932860.0,0.922
60,8000000.0,0.921
61,8171120.0,0.918
62,8317150.0,0.916
63,8482840.0,0.913
64,8664040.0,0.91
65,8830420.0,0.908
66,9000000.0,0.905
67,10001400.0,0.888
68,10114600.0,0.886
69,10274600.0,0.883
70,10423500.0,0.881
71,10559200.0,0.878
72,10685200.0,0.876
73,10841300.0,0.873
74,10979800.0,0.871
75,11160100.0,0.867
76,11306600.0,0.865
77,11430600.0,0.862
78,11570400.0,0.86
79,11722000.0,0.857
80,11906600.0,0.853
81,12000000.0,0.851
82,13230600.0,0.827
83,14692700.0,0.801
84,60000000.0,0.801
