,x,y
0,1e-05,0.096
1,30000.0,0.097
2,100000.0,0.098
3,150000.0,0.099
4,215000.0,0.1
5,300000.0,0.102
6,465000.0,0.105
7,700000.0,0.11
8,1000000.0,0.116
9,1500000.0,0.125
10,2150000.0,0.138
11,3000000.0,0.155
12,4650000.0,0.187
13,7000000.0,0.233
14,10000000.0,0.292
15,12000000.0,0.331
16,13000000.0,0.351
17,14000000.0,0.37
18,15000000.0,0.38
19,21000000.0,0.381
20,22000000.0,0.377
21,25000000.0,0.373
22,26000000.0,0.379
23,27000000.0,0.378
24,28000000.0,0.376
25,29000000.0,0.382
26,30000000.0,0.381
27,34000000.0,0.387
28,36000000.0,0.383
29,38000000.0,0.392
30,40000000.0,0.388
31,42000000.0,0.387
32,44000000.0,0.392
33,46000000.0,0.391
34,48000000.0,0.392
35,50000000.0,0.384
36,52000000.0,0.388
37,54000000.0,0.394
38,56000000.0,0.392
39,58000000.0,0.385
40,60000000.0,0.381
