,x,y
0,1e-05,0.37
1,5096.284,0.371
2,44514.72,0.372
3,79936.99,0.373
4,117630.2,0.374
5,180423.6,0.375
6,200787.6,0.376
7,248670.4,0.377
8,307972.1,0.379
9,381415.7,0.381
10,499031.7,0.384
11,1055759.0,0.399
12,1763507.0,0.418
13,2738613.0,0.444
14,3000000.0,0.451
15,3274032.0,0.458
16,3516106.0,0.465
17,3798609.0,0.472
18,4000000.0,0.478
19,4214764.0,0.484
20,4459272.0,0.49
21,4726126.0,0.497
22,5115259.0,0.508
23,5391836.0,0.515
24,5692546.0,0.523
25,5995417.0,0.531
26,6307976.0,0.54
27,6621454.0,0.548
28,6963812.0,0.557
29,7380915.0,0.569
30,7786211.0,0.58
31,8191859.0,0.59
32,8671158.0,0.603
33,9198836.0,0.618
34,9734928.0,0.632
35,10000000.0,0.639
36,15000000.0,0.76
37,21000000.0,0.763
38,22000000.0,0.764
39,23000000.0,0.768
40,25000000.0,0.771
41,26000000.0,0.772
42,27000000.0,0.773
43,28000000.0,0.775
44,29000000.0,0.777
45,32000000.0,0.781
46,34000000.0,0.782
47,36000000.0,0.787
48,38000000.0,0.788
49,44000000.0,0.791
50,48000000.0,0.787
51,50000000.0,0.789
52,52000000.0,0.792
53,56000000.0,0.763
54,58000000.0,0.761
55,60000000.0,0.759
