,x,y
0,1e-05,0.968
1,30000.0,0.967
2,58711.0,0.966
3,89733.0,0.965
4,123200.0,0.964
5,150000.0,0.963
6,186440.0,0.962
7,211700.0,0.961
8,236690.0,0.96
9,274130.0,0.959
10,300000.0,0.958
11,347180.0,0.957
12,372850.0,0.956
13,400000.0,0.955
14,421660.0,0.954
15,445010.0,0.953
16,479430.0,0.952
17,503400.0,0.951
18,536990.0,0.95
19,574170.0,0.949
20,600000.0,0.948
21,623810.0,0.947
22,660930.0,0.946
23,700000.0,0.945
24,723950.0,0.944
25,748440.0,0.943
26,773940.0,0.942
27,800000.0,0.941
28,848620.0,0.94
29,874060.0,0.939
30,900000.0,0.938
31,923930.0,0.937
32,948780.0,0.936
33,1000000.0,0.935
34,1023100.0,0.934
35,1047000.0,0.933
36,1071000.0,0.932
37,1121000.0,0.931
38,1146900.0,0.93
39,1173000.0,0.929
40,1200000.0,0.928
41,1223500.0,0.927
42,1247800.0,0.926
43,1296800.0,0.925
44,1321900.0,0.924
45,1347700.0,0.923
46,1373500.0,0.922
47,1400000.0,0.921
48,1435300.0,0.92
49,1471100.0,0.919
50,1489100.0,0.918
51,1525900.0,0.917
52,1544600.0,0.916
53,1582500.0,0.915
54,1621100.0,0.914
55,1660200.0,0.913
56,1700000.0,0.911
57,1735200.0,0.91
58,1753400.0,0.909
59,1790100.0,0.908
60,1827100.0,0.907
61,1845900.0,0.906
62,1883700.0,0.905
63,1902600.0,0.904
64,1960700.0,0.902
65,2000000.0,0.901
66,2029900.0,0.9
67,2060700.0,0.899
68,2091100.0,0.898
69,2122500.0,0.897
70,2153600.0,0.896
71,2185700.0,0.895
72,2217300.0,0.894
73,2250000.0,0.893
74,2280000.0,0.892
75,2310900.0,0.891
76,2341400.0,0.89
77,2372800.0,0.889
78,2403900.0,0.887
79,2435800.0,0.886
80,2467500.0,0.885
81,2500000.0,0.884
82,2529500.0,0.883
83,2559600.0,0.882
84,2589600.0,0.881
85,2620200.0,0.88
86,2650600.0,0.879
87,2681800.0,0.878
88,2712700.0,0.877
89,2744300.0,0.876
90,2775200.0,0.875
91,2806800.0,0.874
92,2838100.0,0.873
93,2870200.0,0.872
94,2902100.0,0.871
95,2934600.0,0.87
96,2967000.0,0.869
97,3000000.0,0.867
98,3029000.0,0.866
99,3058700.0,0.865
100,3089100.0,0.864
101,3120200.0,0.863
102,3150500.0,0.862
103,3181500.0,0.861
104,3212200.0,0.86
105,3243600.0,0.859
106,3274700.0,0.858
107,3306500.0,0.857
108,3338000.0,0.856
109,3370200.0,0.855
110,3402100.0,0.854
111,3434700.0,0.853
112,3467000.0,0.852
113,3500000.0,0.851
114,3529300.0,0.85
115,3559200.0,0.849
116,3589700.0,0.848
117,3620800.0,0.846
118,3650800.0,0.845
119,3681400.0,0.844
120,3712600.0,0.843
121,3744400.0,0.842
122,3775500.0,0.841
123,3807300.0,0.84
124,3838700.0,0.839
125,3870800.0,0.838
126,3902600.0,0.837
127,3935100.0,0.836
128,3967200.0,0.835
129,4000000.0,0.834
130,4057400.0,0.832
131,4116900.0,0.83
132,4175500.0,0.828
133,4236200.0,0.826
134,4295800.0,0.824
135,4357600.0,0.822
136,4418400.0,0.82
137,4481400.0,0.817
138,4543400.0,0.815
139,4607500.0,0.813
140,4670700.0,0.811
141,4736000.0,0.809
142,4801100.0,0.807
143,4866800.0,0.805
144,4933100.0,0.802
145,5000000.0,0.8
146,5056500.0,0.798
147,5114900.0,0.796
148,5175200.0,0.794
149,5237700.0,0.792
150,5296000.0,0.79
151,5356200.0,0.788
152,5418500.0,0.786
153,5482800.0,0.784
154,5543400.0,0.782
155,5606000.0,0.78
156,5670700.0,0.777
157,5737500.0,0.775
158,5800000.0,0.773
159,5864500.0,0.771
160,5931200.0,0.769
161,6000000.0,0.766
162,6034500.0,0.765
163,6062100.0,0.764
164,6090400.0,0.763
165,6119400.0,0.762
166,6149000.0,0.761
167,6179400.0,0.76
168,6210500.0,0.759
169,6242400.0,0.758
170,6270100.0,0.757
171,6298500.0,0.756
172,6327600.0,0.755
173,6357300.0,0.754
174,6387700.0,0.753
175,6418800.0,0.752
176,6450700.0,0.751
177,6483400.0,0.75
178,6545200.0,0.748
179,6610100.0,0.746
180,6672700.0,0.744
181,6738400.0,0.741
182,6801800.0,0.739
183,6868400.0,0.737
184,6932600.0,0.735
185,7000000.0,0.733
186,7055500.0,0.731
187,7113700.0,0.729
188,7174900.0,0.727
189,7239400.0,0.725
190,7361200.0,0.72
191,7484300.0,0.716
192,7611100.0,0.712
193,7739300.0,0.708
194,7868900.0,0.703
195,8000000.0,0.699
196,8240500.0,0.691
197,8485700.0,0.683
198,8612400.0,0.678
199,8740300.0,0.674
200,8869500.0,0.67
201,9000000.0,0.665
202,9241600.0,0.657
203,9487400.0,0.649
204,9741500.0,0.64
205,10000000.0,0.632
206,10489000.0,0.615
207,11000000.0,0.598
208,11120000.0,0.594
209,12000000.0,0.564
210,13000000.0,0.531
211,14000000.0,0.497
212,15000000.0,0.48
213,21000000.0,0.477
214,22000000.0,0.474
215,23000000.0,0.46
216,25000000.0,0.458
217,26000000.0,0.449
218,27000000.0,0.443
219,28000000.0,0.445
220,29000000.0,0.444
221,30000000.0,0.438
222,32000000.0,0.429
223,34000000.0,0.431
224,36000000.0,0.418
225,38000000.0,0.412
226,40000000.0,0.418
227,42000000.0,0.416
228,44000000.0,0.41
229,46000000.0,0.399
230,48000000.0,0.41
231,50000000.0,0.412
232,52000000.0,0.411
233,54000000.0,0.409
234,56000000.0,0.404
235,58000000.0,0.391
236,60000000.0,0.4
