,x,y
0,1e-05,0.42
1,46500.0,0.419
2,100000.0,0.418
3,215000.0,0.417
4,300000.0,0.415
5,465000.0,0.413
6,700000.0,0.409
7,1000000.0,0.404
8,1500000.0,0.396
9,2150000.0,0.386
10,3000000.0,0.372
11,4650000.0,0.346
12,7000000.0,0.309
13,10000000.0,0.261
14,12000000.0,0.23
15,13000000.0,0.214
16,14000000.0,0.198
17,15000000.0,0.19
18,21000000.0,0.191
19,22000000.0,0.192
20,23000000.0,0.193
21,24000000.0,0.194
22,25000000.0,0.199
23,27000000.0,0.2
24,28000000.0,0.201
25,29000000.0,0.202
26,30000000.0,0.203
27,32000000.0,0.206
28,34000000.0,0.209
29,36000000.0,0.21
30,38000000.0,0.214
31,40000000.0,0.217
32,42000000.0,0.219
33,44000000.0,0.222
34,46000000.0,0.225
35,48000000.0,0.227
36,50000000.0,0.226
37,52000000.0,0.229
38,54000000.0,0.232
39,56000000.0,0.237
40,58000000.0,0.24
41,60000000.0,0.241
