,x,y
0,1e-05,0.996
1,400000.0,0.995
2,900000.0,0.994
3,1400000.0,0.993
4,1800000.0,0.992
5,2400000.0,0.991
6,2800000.0,0.99
7,3400000.0,0.989
8,3800000.0,0.988
9,4200000.0,0.987
10,4800000.0,0.986
11,5200000.0,0.985
12,5800000.0,0.984
13,6200000.0,0.983
14,6600000.0,0.982
15,7200000.0,0.981
16,7600000.0,0.98
17,8500000.0,0.979
18,9000000.0,0.977
19,9500000.0,0.976
20,10000000.0,0.975
21,10500000.0,0.974
22,11000000.0,0.973
23,11500000.0,0.972
24,12000000.0,0.971
25,12500000.0,0.97
26,13000000.0,0.969
27,13500000.0,0.968
28,14000000.0,0.967
29,14500000.0,0.966
30,60000000.0,0.966
