,x,y
0,1e-05,0.333
1,70047.91,0.334
2,111139.2,0.335
3,156076.0,0.336
4,199784.7,0.337
5,247632.9,0.338
6,295848.8,0.339
7,392898.6,0.341
8,500000.0,0.344
9,604022.0,0.346
10,632233.0,0.347
11,668907.4,0.348
12,739358.9,0.349
13,795686.0,0.35
14,801318.7,0.351
15,898066.9,0.353
16,1000000.0,0.355
17,1220610.0,0.36
18,1305333.0,0.362
19,1366446.0,0.364
20,1463660.0,0.366
21,1483750.0,0.367
22,1594447.0,0.369
23,1698733.0,0.372
24,1748510.0,0.373
25,1914327.0,0.377
26,2000000.0,0.379
27,2194510.0,0.383
28,2227960.0,0.384
29,2258060.0,0.385
30,2500000.0,0.39
31,2570870.0,0.392
32,2635640.0,0.393
33,2705990.0,0.395
34,2790530.0,0.397
35,2867050.0,0.399
36,2975510.0,0.401
37,3014030.0,0.402
38,3247939.0,0.408
39,3500000.0,0.414
40,3562500.0,0.415
41,4000000.0,0.425
42,4064660.0,0.427
43,4187793.0,0.43
44,4310926.0,0.432
45,4468036.0,0.436
46,4500000.0,0.437
47,4586005.0,0.439
48,4659250.0,0.441
49,4742197.0,0.442
50,4832707.0,0.445
51,4915642.0,0.447
52,5028569.0,0.449
53,5111618.0,0.451
54,5211775.0,0.453
55,5304340.0,0.456
56,5386682.0,0.458
57,5494230.0,0.46
58,5555042.0,0.461
59,5663088.0,0.464
60,5776712.0,0.467
61,5855488.0,0.468
62,5975719.0,0.471
63,6000000.0,0.472
64,6116734.0,0.475
65,6220738.0,0.477
66,6354070.0,0.48
67,6467857.0,0.483
68,6596975.0,0.486
69,6732828.0,0.489
70,6827055.0,0.491
71,6941870.0,0.494
72,7058664.0,0.497
73,7169989.0,0.499
74,7315431.0,0.502
75,7397691.0,0.504
76,7543877.0,0.508
77,7697659.0,0.511
78,7804303.0,0.514
79,7967114.0,0.518
80,8208798.0,0.523
81,8438690.0,0.529
82,8485280.0,0.53
83,8738851.0,0.536
84,9000000.0,0.542
85,9500000.0,0.553
86,10000000.0,0.565
87,10172740.0,0.569
88,10319600.0,0.573
89,10485650.0,0.576
90,10666520.0,0.581
91,10831980.0,0.584
92,11000000.0,0.588
93,11120290.0,0.591
94,11211370.0,0.593
95,11349380.0,0.597
96,11489100.0,0.6
97,11662220.0,0.604
98,11854060.0,0.608
99,12000000.0,0.612
100,12211960.0,0.617
101,12443310.0,0.622
102,12490000.0,0.623
103,12742450.0,0.629
104,13000000.0,0.635
105,14000000.0,0.658
106,14500000.0,0.67
107,21000000.0,0.669
108,22000000.0,0.668
109,23000000.0,0.664
110,24000000.0,0.663
111,25000000.0,0.661
112,26000000.0,0.658
113,29000000.0,0.657
114,32000000.0,0.656
115,36000000.0,0.66
116,40000000.0,0.661
117,44000000.0,0.659
118,46000000.0,0.66
119,48000000.0,0.658
120,50000000.0,0.657
121,52000000.0,0.656
122,54000000.0,0.654
123,56000000.0,0.655
124,60000000.0,0.653
