,x,y
0,1e-05,1.0
1,32500.0,0.999
2,168934.0,0.998
3,299225.0,0.997
4,429132.0,0.996
5,559910.5,0.995
6,561456.0,0.995
7,700000.0,0.994
8,827325.5,0.993
9,956316.3,0.992
10,959228.5,0.992
11,1089980.0,0.991
12,1233630.0,0.99
13,1370120.0,0.989
14,1487380.0,0.988
15,1616610.0,0.987
16,1635530.0,0.987
17,1750000.0,0.986
18,1925275.0,0.985
19,2062500.0,0.984
20,2187500.0,0.983
21,2312500.0,0.982
22,2437500.0,0.981
23,2583215.0,0.98
24,2694405.0,0.979
25,2812500.0,0.978
26,2937500.0,0.977
27,3000000.0,0.977
28,3093750.0,0.976
29,3250000.0,0.975
30,3375000.0,0.974
31,3500000.0,0.973
32,3625000.0,0.972
33,3750000.0,0.971
34,3875000.0,0.97
35,4000000.0,0.969
36,4125000.0,0.968
37,4156250.0,0.968
38,4281250.0,0.967
39,4437500.0,0.966
40,4562500.0,0.965
41,4687500.0,0.964
42,4812500.0,0.963
43,4937500.0,0.962
44,5062500.0,0.961
45,5187500.0,0.96
46,5312500.0,0.959
47,5375000.0,0.959
48,5500000.0,0.958
49,5625000.0,0.957
50,5750000.0,0.956
51,5875000.0,0.955
52,6000000.0,0.954
53,6134070.0,0.953
54,6275565.0,0.952
55,6417060.0,0.951
56,6505870.0,0.95
57,6562500.0,0.95
58,6687500.0,0.949
59,6812500.0,0.948
60,6937500.0,0.947
61,7053638.0,0.946
62,7160913.0,0.945
63,7214550.0,0.945
64,7321825.0,0.944
65,7429100.0,0.943
66,7464550.0,0.943
67,7562500.0,0.942
68,7593750.0,0.942
69,7750000.0,0.941
70,7875000.0,0.94
71,8000000.0,0.939
72,8121320.0,0.938
73,8242640.0,0.937
74,8363960.0,0.936
75,8485280.0,0.935
76,8549620.0,0.935
77,8613960.0,0.934
78,8678300.0,0.934
79,8806980.0,0.933
80,8935660.0,0.932
81,9060854.0,0.931
82,9182562.0,0.93
83,9304269.0,0.929
84,9425977.0,0.928
85,9550977.0,0.927
86,9679269.0,0.926
87,9807562.0,0.925
88,9871708.0,0.925
89,9935854.0,0.924
90,10000000.0,0.924
91,10122030.0,0.923
92,10244050.0,0.922
93,10366080.0,0.921
94,10488100.0,0.92
95,10616080.0,0.919
96,10744050.0,0.918
97,10872030.0,0.917
98,11000000.0,0.916
99,11125000.0,0.915
100,11187500.0,0.915
101,11312500.0,0.914
102,11437500.0,0.913
103,11562500.0,0.912
104,11687500.0,0.911
105,11812500.0,0.91
106,11937500.0,0.909
107,12062500.0,0.908
108,12187500.0,0.907
109,12250000.0,0.907
110,12312500.0,0.906
111,12375000.0,0.906
112,12500000.0,0.905
113,12625000.0,0.904
114,12750000.0,0.903
115,12875000.0,0.902
116,13000000.0,0.901
117,13125000.0,0.9
118,13250000.0,0.899
119,13375000.0,0.898
120,13437500.0,0.898
121,13500000.0,0.897
122,13625000.0,0.897
123,13750000.0,0.896
124,13875000.0,0.895
125,14000000.0,0.894
126,14137980.0,0.893
127,14275950.0,0.892
128,14413930.0,0.891
129,14551900.0,0.89
130,60000000.0,0.89
