,x,y
0,1e-05,0.062
1,46500.0,0.063
2,100000.0,0.064
3,215000.0,0.066
4,300000.0,0.067
5,465000.0,0.07
6,700000.0,0.073
7,1000000.0,0.078
8,1500000.0,0.087
9,2150000.0,0.097
10,3000000.0,0.111
11,4650000.0,0.138
12,7000000.0,0.177
13,10000000.0,0.226
14,12000000.0,0.259
15,13000000.0,0.275
16,14000000.0,0.292
17,15000000.0,0.3
18,21000000.0,0.298
19,23000000.0,0.299
20,24000000.0,0.3
21,25000000.0,0.302
22,26000000.0,0.304
23,27000000.0,0.306
24,28000000.0,0.307
25,29000000.0,0.309
26,30000000.0,0.31
27,32000000.0,0.314
28,34000000.0,0.319
29,36000000.0,0.323
30,38000000.0,0.326
31,40000000.0,0.329
32,42000000.0,0.33
33,44000000.0,0.332
34,46000000.0,0.334
35,50000000.0,0.335
36,52000000.0,0.337
37,54000000.0,0.338
38,56000000.0,0.337
39,58000000.0,0.338
40,60000000.0,0.34
