,x,y
0,1e-05,0.413
1,150263.8,0.414
2,292148.0,0.415
3,489411.3,0.416
4,564504.7,0.417
5,700788.7,0.418
6,835097.1,0.419
7,1000000.0,0.42
8,1350000.0,0.423
9,1500000.0,0.424
10,1800000.0,0.426
11,2000000.0,0.427
12,2200000.0,0.429
13,2500000.0,0.431
14,3000000.0,0.435
15,4000000.0,0.442
16,5000000.0,0.45
17,6000000.0,0.457
18,6500000.0,0.461
19,7000000.0,0.464
20,8000000.0,0.472
21,8909720.0,0.479
22,10000000.0,0.487
23,10500000.0,0.49
24,11000000.0,0.494
25,12000000.0,0.501
26,13000000.0,0.509
27,14000000.0,0.516
28,14500000.0,0.52
29,21000000.0,0.514
30,22000000.0,0.516
31,23000000.0,0.512
32,24000000.0,0.515
33,25000000.0,0.509
34,26000000.0,0.508
35,27000000.0,0.511
36,28000000.0,0.51
37,30000000.0,0.513
38,32000000.0,0.509
39,34000000.0,0.515
40,36000000.0,0.513
41,38000000.0,0.517
42,40000000.0,0.515
43,42000000.0,0.512
44,44000000.0,0.516
45,46000000.0,0.514
46,48000000.0,0.51
47,50000000.0,0.514
48,52000000.0,0.524
49,54000000.0,0.522
50,56000000.0,0.516
51,58000000.0,0.511
52,60000000.0,0.52
