,x,y
0,1e-05,0.65
1,30000.0,0.649
2,100000.0,0.648
3,150000.0,0.647
4,215000.0,0.646
5,300000.0,0.644
6,465000.0,0.641
7,700000.0,0.636
8,1000000.0,0.63
9,1500000.0,0.62
10,2150000.0,0.607
11,3000000.0,0.59
12,4650000.0,0.557
13,7000000.0,0.51
14,10000000.0,0.45
15,12000000.0,0.41
16,13000000.0,0.39
17,14000000.0,0.37
18,15000000.0,0.36
19,21000000.0,0.368
20,22000000.0,0.373
21,23000000.0,0.377
22,24000000.0,0.381
23,25000000.0,0.383
24,26000000.0,0.385
25,28000000.0,0.387
26,30000000.0,0.388
27,32000000.0,0.39
28,34000000.0,0.388
29,38000000.0,0.389
30,40000000.0,0.395
31,42000000.0,0.396
32,44000000.0,0.397
33,46000000.0,0.396
34,48000000.0,0.395
35,50000000.0,0.397
36,52000000.0,0.399
37,56000000.0,0.401
38,58000000.0,0.402
39,60000000.0,0.401
