,x,y
0,1e-05,0.13
1,5.0436,0.147
2,1000.0,0.536
3,10000.0,0.537
4,20000.0,0.539
5,50000.0,0.544
6,100000.0,0.553
7,200000.0,0.572
8,300000.0,0.58
9,400000.0,0.59
10,500000.0,0.599
11,600000.0,0.607
12,700000.0,0.613
13,800000.0,0.619
14,900000.0,0.624
15,1000000.0,0.628
16,1200000.0,0.637
17,1400000.0,0.646
18,1600000.0,0.654
19,1800000.0,0.661
20,2000000.0,0.668
21,2200000.0,0.674
22,2400000.0,0.679
23,2600000.0,0.683
24,2800000.0,0.688
25,3000000.0,0.692
26,3200000.0,0.696
27,3400000.0,0.7
28,3600000.0,0.704
29,3800000.0,0.707
30,4000000.0,0.71
31,4200000.0,0.712
32,4400000.0,0.713
33,4800000.0,0.712
34,5000000.0,0.709
35,5200000.0,0.707
36,5400000.0,0.703
37,5600000.0,0.699
38,5800000.0,0.693
39,6000000.0,0.686
40,6200000.0,0.681
41,6400000.0,0.674
42,6600000.0,0.668
43,6800000.0,0.663
44,7000000.0,0.657
45,7200000.0,0.654
46,7400000.0,0.65
47,7600000.0,0.647
48,7800000.0,0.646
49,8000000.0,0.644
50,8500000.0,0.645
51,9000000.0,0.649
52,9500000.0,0.655
53,10000000.0,0.662
54,10500000.0,0.669
55,11000000.0,0.676
56,11500000.0,0.683
57,12000000.0,0.689
58,12500000.0,0.695
59,13000000.0,0.7
60,13500000.0,0.704
61,14000000.0,0.707
62,14500000.0,0.709
63,15000000.0,0.71
64,17000000.0,0.709
65,19000000.0,0.708
66,21000000.0,0.709
67,22000000.0,0.71
68,23000000.0,0.712
69,25000000.0,0.715
70,26000000.0,0.716
71,27000000.0,0.717
72,28000000.0,0.72
73,30000000.0,0.722
74,32000000.0,0.723
75,34000000.0,0.729
76,38000000.0,0.733
77,40000000.0,0.732
78,42000000.0,0.733
79,44000000.0,0.737
80,46000000.0,0.734
81,48000000.0,0.735
82,50000000.0,0.739
83,52000000.0,0.737
84,54000000.0,0.735
85,56000000.0,0.738
86,58000000.0,0.742
87,60000000.0,0.74
