,x,y
0,1e-05,0.667
1,9997.848,0.666
2,50013.91,0.665
3,99790.98,0.664
4,199434.2,0.661
5,299908.9,0.658
6,400000.0,0.655
7,477883.0,0.653
8,600000.0,0.649
9,793927.6,0.643
10,1000000.0,0.637
11,1134000.0,0.633
12,1200000.0,0.631
13,1275000.0,0.629
14,1500000.0,0.623
15,1687500.0,0.617
16,1875000.0,0.611
17,2000000.0,0.608
18,2120000.0,0.604
19,2200000.0,0.602
20,2350000.0,0.598
21,2400000.0,0.596
22,2500000.0,0.593
23,2750000.0,0.586
24,3250000.0,0.571
25,3500000.0,0.564
26,4062500.0,0.547
27,5000000.0,0.52
28,6000000.0,0.49
29,7000000.0,0.461
30,8000000.0,0.431
31,9000000.0,0.402
32,10000000.0,0.372
33,12000000.0,0.314
34,14000000.0,0.255
35,15000000.0,0.24
36,60000000.0,0.24
