,x,y
0,1e-05,0.333
1,7750.0,0.334
2,58470.94,0.335
3,89683.9,0.336
4,137559.0,0.337
5,179464.0,0.338
6,247347.9,0.339
7,306334.2,0.341
8,360148.3,0.342
9,422207.8,0.344
10,469861.5,0.345
11,509635.7,0.346
12,552402.8,0.347
13,614751.3,0.348
14,684137.0,0.35
15,761354.0,0.352
16,869917.2,0.355
17,1047723.0,0.359
18,1267721.0,0.365
19,1400000.0,0.368
20,1600000.0,0.373
21,2000000.0,0.383
22,3000000.0,0.407
23,3605280.0,0.422
24,4903150.0,0.454
25,5057630.0,0.458
26,5391836.0,0.466
27,5692546.0,0.473
28,6331004.0,0.489
29,6618414.0,0.496
30,6966803.0,0.505
31,7290209.0,0.513
32,7565603.0,0.519
33,7819941.0,0.526
34,8139757.0,0.534
35,8485592.0,0.542
36,8783897.0,0.549
37,9086005.0,0.557
38,9401447.0,0.565
39,9755390.0,0.573
40,10000000.0,0.579
41,10584560.0,0.594
42,11000000.0,0.604
43,11710780.0,0.621
44,12000000.0,0.629
45,12814040.0,0.649
46,13803650.0,0.673
47,14491380.0,0.69
48,22000000.0,0.691
49,24000000.0,0.693
50,25000000.0,0.694
51,26000000.0,0.693
52,27000000.0,0.695
53,28000000.0,0.696
54,29000000.0,0.697
55,30000000.0,0.698
56,34000000.0,0.696
57,36000000.0,0.697
58,38000000.0,0.7
59,40000000.0,0.697
60,46000000.0,0.692
61,48000000.0,0.693
62,50000000.0,0.697
63,52000000.0,0.693
64,54000000.0,0.687
65,56000000.0,0.688
66,58000000.0,0.69
67,60000000.0,0.69
