,x,y
0,1e-05,0.999
1,1.03125e-05,0.998
2,1.125e-05,0.999
3,1.15625e-05,0.998
4,1.3125e-05,0.999
5,1.34375e-05,0.998
6,1.375e-05,0.999
7,1.4375e-05,0.998
8,1.625e-05,0.999
9,2.28125e-05,0.998
10,2.375e-05,0.999
11,2.46875e-05,0.998
12,2.5625e-05,0.999
13,2.75e-05,0.998
14,3.03125e-05,0.999
15,3.125e-05,0.998
16,3.5e-05,0.999
17,3.6875e-05,0.998
18,4.0625e-05,0.999
19,4.4375e-05,0.998
20,4.8125e-05,0.999
21,5.3125e-05,0.998
22,5.46875e-05,0.999
23,5.625e-05,0.998
24,6.09375e-05,0.999
25,6.71875e-05,0.998
26,7.1875e-05,0.999
27,7.8125e-05,0.998
28,8.4375e-05,0.999
29,9.375e-05,0.998
30,0.0001,0.999
31,0.000103125,0.998
32,0.000109375,0.999
33,0.00011875,0.998
34,0.000121875,0.999
35,0.000125,0.998
36,0.000128125,0.999
37,0.00013125,0.998
38,0.000134375,0.999
39,0.0001375,0.998
40,0.00015,0.999
41,0.00016875,0.998
42,0.00019375,0.999
43,0.000209375,0.998
44,0.000246875,0.999
45,0.00029375,0.998
46,0.00033125,0.999
47,0.000340625,0.998
48,0.00036875,0.999
49,0.000378125,0.998
50,0.0003875,0.999
51,0.00040625,0.998
52,0.00044375,0.999
53,0.0005,0.998
54,0.000546875,0.999
55,0.0005625,0.998
56,0.000578125,0.999
57,0.000625,0.998
58,0.000671875,0.999
59,0.00075,0.998
60,0.00078125,0.999
61,0.00084375,0.998
62,0.000875,0.999
63,0.0009375,0.998
64,0.00103125,0.999
65,0.0011875,0.998
66,0.00121875,0.999
67,0.00125,0.998
68,0.00128125,0.999
69,0.0013125,0.998
70,0.00134375,0.999
71,0.0014375,0.998
72,0.001625,0.999
73,0.001875,0.998
74,0.00228125,0.999
75,0.0025625,0.998
76,0.00265625,0.999
77,0.00275,0.998
78,0.00303125,0.999
79,0.0033125,0.998
80,0.00340625,0.999
81,0.00378125,0.998
82,0.003875,0.999
83,0.00396875,0.998
84,0.0040625,0.999
85,0.0044375,0.998
86,0.0048125,0.999
87,0.005,0.998
88,0.00515625,0.999
89,0.00546875,0.998
90,0.00578125,0.999
91,0.0059375,0.998
92,0.00609375,0.999
93,0.00640625,0.998
94,0.0065625,0.999
95,0.00671875,0.998
96,0.0071875,0.999
97,0.0078125,0.998
98,0.008125,0.999
99,0.00875,0.998
100,0.0090625,0.999
101,0.009375,0.998
102,0.01,0.999
103,0.0103125,0.998
104,0.0109375,0.999
105,0.0115625,0.998
106,0.011875,0.999
107,0.0125,0.998
108,0.0128125,0.999
109,0.01375,0.998
110,0.015,0.999
111,0.01625,0.998
112,0.018125,0.999
113,0.02,0.998
114,0.0219875,0.999
115,0.0233125,0.998
116,0.02645782,0.999
117,0.02761563,0.998
118,0.02877344,0.999
119,0.02993125,0.998
120,0.03224688,0.999
121,0.0345625,0.998
122,0.03552735,0.999
123,0.03649219,0.998
124,0.04035157,0.999
125,0.04131641,0.998
126,0.04228125,0.999
127,0.0515625,0.998
128,0.053125,0.999
129,0.059375,0.998
130,0.0609375,0.999
131,0.0625,0.998
132,0.0640625,0.999
133,0.06875,0.998
134,0.075,0.999
135,0.078125,0.998
136,0.08125,0.999
137,0.0875,0.998
138,0.09375,0.999
139,0.121875,0.998
140,0.125,0.999
141,0.14375,0.998
142,0.1625,0.999
143,0.16875,0.998
144,0.1875,0.999
145,0.19375,0.998
146,0.228125,0.999
147,0.246875,0.998
148,0.265625,0.999
149,0.275,0.998
150,0.284375,0.999
151,0.303125,0.998
152,0.321875,0.999
153,0.36875,0.998
154,0.425,0.999
155,0.44375,0.998
156,0.5,0.999
157,0.59375,0.998
158,0.625,0.999
159,0.6875,0.998
160,0.8125,0.999
161,0.875,0.998
162,1.1875,0.999
163,1.375,0.998
164,1.625,0.999
165,2.75,0.998
166,3.125,0.999
167,3.3125,0.998
168,3.875,0.999
169,4.625,0.998
170,5.625,0.999
171,5.9375,0.998
172,6.25,0.999
173,6.875,0.998
174,10.0,0.999
175,10.625,0.998
176,11.875,0.999
177,12.5,0.998
178,15.0,0.999
179,16.25,0.998
180,21.875,0.999
181,25.625,0.998
182,27.5,0.999
183,29.375,0.998
184,31.25,0.999
185,35.0,0.998
186,46.25,0.999
187,62.5,0.998
188,75.0,0.999
189,81.25,0.998
190,100.0,0.999
191,125.0,0.998
192,137.5,0.999
193,150.0,0.998
194,175.0,0.999
195,187.5,0.998
196,212.0459,0.999
197,218.0688,0.998
198,224.0917,0.999
199,242.1604,0.998
200,273.422,0.999
201,284.3206,0.998
202,292.4946,0.999
203,295.2192,0.998
204,304.6838,0.999
205,312.571,0.998
206,315.7259,0.999
207,318.8807,0.998
208,320.4581,0.999
209,322.0355,0.998
210,323.6129,0.999
211,325.1903,0.998
212,326.7677,0.999
213,328.3452,0.998
214,329.9226,0.999
215,332.6831,0.998
216,333.0774,0.999
217,336.0889,0.998
218,336.8059,0.999
219,337.0927,0.998
220,337.3795,0.999
221,338.24,0.998
222,338.5268,0.999
223,341.1797,0.998
224,341.3769,0.999
225,341.5741,0.998
226,341.6727,0.999
227,341.9684,0.998
228,342.4793,0.999
229,342.5645,0.998
230,342.6496,0.999
231,342.7348,0.998
232,342.9051,0.999
233,342.9902,0.998
234,343.0754,0.999
235,343.2456,0.998
236,343.4293,0.999
237,343.5279,0.998
238,343.9223,0.999
239,344.0209,0.998
240,344.1687,0.999
241,344.2673,0.998
242,344.3659,0.999
243,344.4152,0.998
244,344.5138,0.999
245,344.5631,0.998
246,344.6617,0.999
247,344.711,0.998
248,344.7603,0.999
249,344.8589,0.998
250,344.9081,0.999
251,344.9664,0.998
252,344.9956,0.999
253,345.0247,0.998
254,345.0539,0.999
255,345.1412,0.998
256,345.2577,0.999
257,345.316,0.998
258,345.3742,0.999
259,345.4235,0.998
260,345.4728,0.999
261,345.4975,0.998
262,345.5221,0.999
263,345.5714,0.998
264,345.5961,0.999
265,345.6207,0.998
266,345.6454,0.999
267,345.7439,0.998
268,345.8537,0.999
269,345.875,0.998
270,345.8963,0.999
271,345.9176,0.998
272,345.9601,0.999
273,346.0879,0.998
274,346.1091,0.999
275,346.1338,0.998
276,346.1584,0.999
277,346.1831,0.998
278,346.2077,0.999
279,346.2324,0.998
280,346.2817,0.999
281,346.3063,0.998
282,346.3556,0.999
283,346.4049,0.998
284,346.5035,0.999
285,346.6043,0.998
286,346.6379,0.999
287,346.6872,0.998
288,346.7365,0.999
289,346.8928,0.998
290,346.9513,0.999
291,346.9757,0.998
292,347.0537,0.999
293,347.0805,0.998
294,347.1859,0.999
295,347.2121,0.998
296,347.2634,0.999
297,347.366,0.998
298,347.4173,0.999
299,347.464,0.998
300,347.6553,0.999
301,347.7066,0.998
302,347.7323,0.999
303,347.7579,0.998
304,347.7836,0.999
305,347.8092,0.998
306,347.8698,0.999
307,347.9001,0.998
308,347.9304,0.999
309,348.1287,0.998
310,348.1543,0.999
311,348.18,0.998
312,348.2569,0.999
313,348.3082,0.998
314,348.3339,0.999
315,348.3595,0.998
316,348.3852,0.999
317,348.4365,0.998
318,348.4621,0.999
319,348.4878,0.998
320,348.5135,0.999
321,348.5648,0.998
322,348.5905,0.999
323,348.6161,0.998
324,348.6418,0.999
325,348.6674,0.998
326,348.7187,0.999
327,348.7444,0.998
328,349.1245,0.999
329,349.1665,0.998
330,349.2084,0.999
331,349.2924,0.998
332,349.3763,0.999
333,349.4183,0.998
334,349.4603,0.999
335,349.5956,0.998
336,349.6982,0.999
337,349.9034,0.998
338,349.9547,0.999
339,350.0574,0.998
340,350.4865,0.999
341,350.6078,0.998
342,350.7291,0.999
343,350.8503,0.998
344,350.9716,0.999
345,351.0929,0.998
346,351.2142,0.999
347,351.3354,0.998
348,351.4381,0.999
349,351.6433,0.998
350,352.2591,0.999
351,352.3617,0.998
352,352.4643,0.999
353,352.5669,0.998
354,353.1266,0.999
355,353.4252,0.998
356,353.5744,0.999
357,353.7983,0.998
358,354.1714,0.999
359,354.3207,0.998
360,354.9177,0.999
361,355.2162,0.998
362,355.5148,0.999
363,355.8133,0.998
364,356.1118,0.999
365,356.4103,0.998
366,356.8208,0.999
367,358.8732,0.998
368,359.2837,0.999
369,360.4404,0.998
370,360.8136,0.999
371,361.933,0.998
372,362.6793,0.999
373,364.1719,0.998
374,364.9182,0.999
375,367.3064,0.998
376,368.1274,0.999
377,368.9483,0.998
378,370.5902,0.999
379,372.232,0.998
380,373.7247,0.999
381,376.7099,0.998
382,381.1878,0.999
383,385.8149,0.998
384,397.308,0.999
385,400.2933,0.998
386,409.249,0.999
387,421.1899,0.998
388,434.3249,0.999
389,440.8924,0.998
390,447.4599,0.999
391,486.865,0.998
392,500.0,0.999
393,521.4844,0.998
394,542.9688,0.999
395,585.9375,0.998
396,625.0,0.999
397,687.5,0.998
398,843.75,0.999
399,875.0,0.998
400,937.5,0.999
401,1456.756,0.998
402,1510.492,0.999
403,1547.436,0.998
404,1584.379,0.999
405,1658.266,0.998
406,1674.219,0.999
407,1738.031,0.998
408,1761.961,0.999
409,1769.937,0.998
410,1785.889,0.999
411,1791.347,0.998
412,1807.72,0.999
413,1815.907,0.998
414,1818.635,0.999
415,1821.364,0.998
416,1824.093,0.999
417,1826.822,0.998
418,1829.55,0.999
419,1831.44,0.998
420,1837.107,0.999
421,1839.941,0.998
422,1842.774,0.999
423,1845.503,0.998
424,1847.183,0.999
425,1848.022,0.998
426,1849.282,0.999
427,1849.701,0.998
428,1850.121,0.999
429,1850.541,0.998
430,1851.774,0.999
431,1852.168,0.998
432,1852.562,0.999
433,1852.955,0.998
434,1853.349,0.999
435,1853.742,0.998
436,1855.002,0.999
437,1855.12,0.998
438,1855.592,0.999
439,1855.71,0.998
440,1855.828,0.999
441,1855.946,0.998
442,1856.3,0.999
443,1856.418,0.998
444,1856.707,0.999
445,1856.852,0.998
446,1857.105,0.999
447,1857.429,0.998
448,1857.501,0.999
449,1857.537,0.998
450,1857.573,0.999
451,1857.826,0.998
452,1857.898,0.999
453,1857.934,0.998
454,1858.006,0.999
455,1859.252,0.998
456,1859.522,0.999
457,1859.737,0.998
458,1859.827,0.999
459,1859.916,0.998
460,1860.0,0.999
461,1860.091,0.998
462,1860.182,0.999
463,1860.361,0.998
464,1860.736,0.999
465,1861.257,0.998
466,1861.437,0.999
467,1861.522,0.998
468,1861.607,0.999
469,1861.692,0.998
470,1861.726,0.999
471,1861.846,0.998
472,1861.906,0.999
473,1861.965,0.998
474,1862.025,0.999
475,1862.204,0.998
476,1862.298,0.999
477,1862.345,0.998
478,1862.439,0.999
479,1862.486,0.998
480,1862.533,0.999
481,1862.673,0.998
482,1862.72,0.999
483,1862.767,0.998
484,1862.861,0.999
485,1862.908,0.998
486,1863.001,0.999
487,1863.142,0.998
488,1863.236,0.999
489,1863.377,0.998
490,1863.424,0.999
491,1863.518,0.998
492,1863.612,0.999
493,1863.799,0.998
494,1863.893,0.999
495,1863.987,0.998
496,1864.081,0.999
497,1864.269,0.998
498,1865.591,0.999
499,1865.753,0.998
500,1866.401,0.999
501,1866.725,0.998
502,1867.34,0.999
503,1868.79,0.998
504,1869.37,0.999
505,1870.53,0.998
506,1871.11,0.999
507,1872.271,0.998
508,1872.851,0.999
509,1876.331,0.998
510,1879.812,0.999
511,1880.972,0.998
512,1886.705,0.999
513,1889.572,0.998
514,1892.438,0.999
515,1901.038,0.998
516,1903.904,0.999
517,1908.272,0.998
518,1917.008,0.999
519,1925.744,0.998
520,1930.112,0.999
521,1947.584,0.998
522,1162400.0,0.997
523,2338625.0,0.996
524,3499999.0,0.995
