,x,y
0,1e-05,0.69
1,398850.0,0.689
2,1200000.0,0.688
3,2000000.0,0.687
4,3000000.0,0.686
5,4000000.0,0.684
6,5000000.0,0.683
7,6000000.0,0.682
8,8000000.0,0.679
9,10000000.0,0.676
10,15000000.0,0.67
11,21000000.0,0.664
12,22000000.0,0.659
13,23000000.0,0.655
14,24000000.0,0.65
15,25000000.0,0.648
16,26000000.0,0.64
17,27000000.0,0.639
18,28000000.0,0.632
19,29000000.0,0.629
20,30000000.0,0.628
21,32000000.0,0.62
22,34000000.0,0.617
23,36000000.0,0.611
24,38000000.0,0.609
25,40000000.0,0.604
26,42000000.0,0.603
27,44000000.0,0.608
28,46000000.0,0.6
29,48000000.0,0.599
30,50000000.0,0.605
31,52000000.0,0.604
32,54000000.0,0.596
33,56000000.0,0.602
34,58000000.0,0.604
35,60000000.0,0.602
