,x,y
0,1e-05,0.25
1,2450.1,0.044
2,5000.0,0.046
3,10000.0,0.051
4,20000.0,0.061
5,50000.0,0.081
6,100000.0,0.1
7,200000.0,0.102
8,300000.0,0.111
9,400000.0,0.119
10,500000.0,0.127
11,600000.0,0.132
12,700000.0,0.135
13,800000.0,0.14
14,900000.0,0.145
15,1000000.0,0.15
16,1200000.0,0.162
17,1400000.0,0.174
18,1600000.0,0.184
19,1800000.0,0.197
20,2000000.0,0.208
21,2200000.0,0.218
22,2400000.0,0.226
23,2600000.0,0.234
24,2800000.0,0.241
25,3000000.0,0.249
26,3200000.0,0.256
27,3400000.0,0.263
28,3600000.0,0.27
29,3800000.0,0.277
30,4000000.0,0.282
31,4200000.0,0.287
32,4400000.0,0.292
33,4600000.0,0.296
34,4800000.0,0.298
35,5000000.0,0.301
36,5200000.0,0.303
37,5400000.0,0.305
38,5600000.0,0.306
39,5800000.0,0.307
40,6000000.0,0.308
41,6200000.0,0.307
42,6600000.0,0.306
43,6800000.0,0.305
44,7000000.0,0.303
45,7200000.0,0.3
46,7400000.0,0.298
47,7600000.0,0.295
48,7800000.0,0.293
49,8000000.0,0.29
50,8500000.0,0.284
51,9000000.0,0.28
52,9500000.0,0.278
53,10000000.0,0.279
54,10500000.0,0.28
55,11000000.0,0.281
56,12000000.0,0.282
57,12500000.0,0.281
58,13000000.0,0.279
59,13500000.0,0.276
60,14000000.0,0.274
61,14500000.0,0.27
62,15000000.0,0.266
63,16000000.0,0.256
64,17000000.0,0.248
65,18000000.0,0.242
66,19000000.0,0.237
67,20000000.0,0.233
68,21000000.0,0.229
69,22000000.0,0.226
70,23000000.0,0.222
71,24000000.0,0.219
72,25000000.0,0.215
73,26000000.0,0.212
74,27000000.0,0.209
75,28000000.0,0.205
76,29000000.0,0.203
77,30000000.0,0.201
78,32000000.0,0.196
79,34000000.0,0.192
80,36000000.0,0.186
81,38000000.0,0.184
82,40000000.0,0.181
83,42000000.0,0.178
84,44000000.0,0.176
85,46000000.0,0.175
86,48000000.0,0.172
87,50000000.0,0.171
88,52000000.0,0.17
89,54000000.0,0.169
90,56000000.0,0.167
91,58000000.0,0.166
92,60000000.0,0.165
