,x,y
0,1e-05,0.062
1,90000.0,0.063
2,143520.0,0.064
3,245990.0,0.065
4,300000.0,0.066
5,347050.0,0.067
6,400000.0,0.068
7,500000.0,0.069
8,600000.0,0.071
9,700000.0,0.073
10,800000.0,0.074
11,900000.0,0.076
12,938640.0,0.077
13,1000000.0,0.078
14,1063700.0,0.079
15,1131500.0,0.08
16,1203500.0,0.081
17,1280100.0,0.082
18,1300000.0,0.083
19,1360500.0,0.084
20,1442100.0,0.085
21,1500000.0,0.086
22,1570400.0,0.087
23,1612600.0,0.088
24,1664400.0,0.089
25,1826300.0,0.091
26,1847500.0,0.092
27,1911900.0,0.093
28,2000000.0,0.094
29,2075100.0,0.095
30,2105100.0,0.096
31,2196300.0,0.097
32,2210900.0,0.098
33,2269000.0,0.099
34,2349700.0,0.1
35,2397600.0,0.101
36,2492400.0,0.102
37,2519300.0,0.103
38,2579200.0,0.104
39,2640100.0,0.105
40,2709600.0,0.106
41,2833000.0,0.108
42,2960000.0,0.11
43,3000000.0,0.111
44,3120200.0,0.113
45,3243600.0,0.115
46,3500000.0,0.119
47,3744400.0,0.123
48,4000000.0,0.127
49,4245100.0,0.131
50,4500000.0,0.135
51,4745600.0,0.139
52,5000000.0,0.144
53,5246000.0,0.148
54,5500000.0,0.152
55,5746400.0,0.156
56,6000000.0,0.16
57,6246700.0,0.164
58,6500000.0,0.168
59,6670000.0,0.171
60,7000000.0,0.176
61,7247100.0,0.181
62,7500000.0,0.185
63,7742500.0,0.189
64,8000000.0,0.193
65,8212400.0,0.196
66,8436200.0,0.2
67,8500000.0,0.201
68,8742200.0,0.205
69,9000000.0,0.209
70,9240900.0,0.213
71,9500000.0,0.218
72,9740600.0,0.222
73,10000000.0,0.226
74,10114000.0,0.228
75,10233000.0,0.23
76,10358000.0,0.232
77,10488000.0,0.234
78,10621000.0,0.236
79,10747000.0,0.238
80,10871000.0,0.24
81,11000000.0,0.242
82,11121000.0,0.244
83,11247000.0,0.246
84,11365000.0,0.248
85,11489000.0,0.25
86,11500000.0,0.251
87,11618000.0,0.253
88,11742000.0,0.255
89,11868000.0,0.257
90,12000000.0,0.259
91,12115000.0,0.261
92,12234000.0,0.263
93,12359000.0,0.265
94,12490000.0,0.267
95,12617000.0,0.269
96,12739000.0,0.271
97,12867000.0,0.273
98,13000000.0,0.275
99,13114000.0,0.277
100,13233000.0,0.279
101,13359000.0,0.281
102,13491000.0,0.283
103,13500000.0,0.284
104,13619000.0,0.285
105,13743000.0,0.288
106,13868000.0,0.29
107,14000000.0,0.292
108,14238000.0,0.296
109,14491000.0,0.3
110,20000000.0,0.301
111,60000000.0,0.301
