,x,y
0,1e-05,0.533
1,319.01,0.868
2,1000.0,0.851
3,10000.0,0.849
4,20000.0,0.846
5,50000.0,0.838
6,100000.0,0.818
7,200000.0,0.788
8,300000.0,0.773
9,400000.0,0.787
10,500000.0,0.783
11,800000.0,0.779
12,900000.0,0.77
13,1000000.0,0.765
14,1200000.0,0.76
15,1400000.0,0.754
16,1600000.0,0.75
17,1800000.0,0.746
18,2000000.0,0.742
19,2200000.0,0.738
20,2400000.0,0.735
21,2600000.0,0.732
22,2800000.0,0.73
23,3000000.0,0.728
24,3200000.0,0.726
25,3400000.0,0.725
26,3600000.0,0.724
27,4000000.0,0.723
28,4400000.0,0.724
29,4600000.0,0.723
30,5200000.0,0.724
31,5600000.0,0.723
32,6400000.0,0.724
33,6800000.0,0.726
34,7400000.0,0.73
35,7600000.0,0.732
36,7800000.0,0.736
37,8000000.0,0.738
38,8500000.0,0.744
39,9000000.0,0.748
40,9500000.0,0.75
41,11000000.0,0.749
42,11500000.0,0.748
43,12000000.0,0.747
44,12500000.0,0.746
45,13000000.0,0.745
46,13500000.0,0.744
47,14500000.0,0.743
48,15000000.0,0.744
49,16000000.0,0.746
50,17000000.0,0.748
51,18000000.0,0.75
52,19000000.0,0.751
53,20000000.0,0.752
54,21000000.0,0.753
55,22000000.0,0.754
56,23000000.0,0.755
57,24000000.0,0.756
58,25000000.0,0.757
59,26000000.0,0.758
60,28000000.0,0.76
61,32000000.0,0.764
62,36000000.0,0.769
63,40000000.0,0.77
64,42000000.0,0.775
65,44000000.0,0.774
66,46000000.0,0.776
67,48000000.0,0.781
68,50000000.0,0.783
69,52000000.0,0.781
70,54000000.0,0.779
71,56000000.0,0.784
72,58000000.0,0.788
73,60000000.0,0.788
