,x,y
0,1e-05,0.652
1,65000.0,0.651
2,150000.0,0.65
3,237500.0,0.649
4,399342.9,0.647
5,499154.7,0.646
6,600000.0,0.645
7,801559.9,0.643
8,1000000.0,0.64
9,1118000.0,0.639
10,1200000.0,0.638
11,1298600.0,0.637
12,1456100.0,0.635
13,1496500.0,0.634
14,1578000.0,0.633
15,1767000.0,0.631
16,1846000.0,0.63
17,2000000.0,0.628
18,2200000.0,0.626
19,2500000.0,0.623
20,3000000.0,0.617
21,4000000.0,0.605
22,5000000.0,0.593
23,6500000.0,0.575
24,8000000.0,0.557
25,9397000.0,0.541
26,10000200.0,0.539
27,10500000.0,0.533
28,12000000.0,0.515
29,14000000.0,0.491
30,14610350.0,0.485
31,22000000.0,0.487
32,25000000.0,0.49
33,26000000.0,0.488
34,27000000.0,0.49
35,28000000.0,0.493
36,29000000.0,0.491
37,32000000.0,0.497
38,34000000.0,0.495
39,36000000.0,0.499
40,38000000.0,0.498
41,40000000.0,0.502
42,42000000.0,0.508
43,44000000.0,0.506
44,46000000.0,0.509
45,48000000.0,0.514
46,50000000.0,0.517
47,52000000.0,0.516
48,56000000.0,0.519
49,58000000.0,0.524
50,60000000.0,0.528
