,x,y
0,1e-05,0.094
1,2034.701,0.005
2,2035.0,0.017
3,10000.0,0.039
4,50000.0,0.062
5,100000.0,0.067
6,200000.0,0.081
7,300000.0,0.073
8,400000.0,0.086
9,500000.0,0.099
10,600000.0,0.128
11,700000.0,0.121
12,800000.0,0.119
13,900000.0,0.124
14,1000000.0,0.119
15,1100000.0,0.117
16,1250000.0,0.108
17,1500000.0,0.099
18,1750000.0,0.112
19,2000000.0,0.139
20,3000000.0,0.318
21,4000000.0,0.468
22,5000000.0,0.633
23,6000000.0,0.848
24,6200000.0,0.863
25,6400000.0,0.876
26,6600000.0,0.887
27,6800000.0,0.896
28,7000000.0,0.904
29,7200000.0,0.911
30,7400000.0,0.913
31,7600000.0,0.917
32,7800000.0,0.918
33,8000000.0,0.919
34,9000000.0,0.917
35,9500000.0,0.916
36,11000000.0,0.917
37,11500000.0,0.919
38,12000000.0,0.921
39,12500000.0,0.924
40,13000000.0,0.928
41,13500000.0,0.934
42,14000000.0,0.94
43,14500000.0,0.948
44,15000000.0,0.954
45,16000000.0,0.964
46,17000000.0,0.971
47,18000000.0,0.975
48,19000000.0,0.978
49,20000000.0,0.981
50,21000000.0,0.982
51,22000000.0,0.984
52,23000000.0,0.985
53,24000000.0,0.986
54,25000000.0,0.987
55,27000000.0,0.988
56,29000000.0,0.989
57,32000000.0,0.99
58,34000000.0,0.991
59,38000000.0,0.992
60,42000000.0,0.993
61,50000000.0,0.994
62,60000000.0,0.994
