,x,y
0,1e-05,0.997
1,124.19,0.999
2,35000.0,0.998
3,70000.0,0.997
4,90000.0,0.996
5,126080.0,0.994
6,150000.0,0.993
7,200000.0,0.99
8,350000.0,0.989
9,400000.0,0.988
10,550000.0,0.987
11,650000.0,0.986
12,750000.0,0.985
13,800000.0,0.984
14,850000.0,0.983
15,900000.0,0.982
16,950000.0,0.98
17,1000000.0,0.979
18,1100000.0,0.976
19,1250000.0,0.971
20,1500000.0,0.963
21,2000000.0,0.946
22,2500000.0,0.927
23,3000000.0,0.906
24,3500000.0,0.881
25,4000000.0,0.86
26,4500000.0,0.84
27,5000000.0,0.81
28,5500000.0,0.79
29,6000000.0,0.77
30,6500000.0,0.76
31,7000000.0,0.751
32,7500000.0,0.741
33,8000000.0,0.731
34,8500000.0,0.722
35,9000000.0,0.712
36,9500000.0,0.703
37,10000000.0,0.693
38,10500000.0,0.683
39,11000000.0,0.674
40,11500000.0,0.664
41,12000000.0,0.654
42,12500000.0,0.645
43,13000000.0,0.635
44,13500000.0,0.625
45,14000000.0,0.616
46,14500000.0,0.606
47,15000000.0,0.596
48,15500000.0,0.587
49,16000000.0,0.577
50,17000000.0,0.558
51,18000000.0,0.539
52,19000000.0,0.519
53,20000000.0,0.5
54,21000000.0,0.49
55,22000000.0,0.484
56,23000000.0,0.477
57,24000000.0,0.47
58,25000000.0,0.462
59,26000000.0,0.455
60,27000000.0,0.448
61,28000000.0,0.443
62,29000000.0,0.437
63,30000000.0,0.432
64,32000000.0,0.422
65,34000000.0,0.414
66,36000000.0,0.39
67,38000000.0,0.383
68,40000000.0,0.375
69,42000000.0,0.404
70,44000000.0,0.402
71,46000000.0,0.399
72,48000000.0,0.401
73,50000000.0,0.399
74,52000000.0,0.397
75,54000000.0,0.477
76,56000000.0,0.483
77,60000000.0,0.481
