,x,y
0,1e-05,0.457
1,1000.0,0.462
2,2000.0,0.466
3,5000.0,0.473
4,10000.0,0.479
5,20000.0,0.484
6,50000.0,0.489
7,100000.0,0.494
8,200000.0,0.486
9,300000.0,0.487
10,400000.0,0.5
11,500000.0,0.536
12,600000.0,0.553
13,700000.0,0.568
14,800000.0,0.585
15,900000.0,0.606
16,1000000.0,0.608
17,1200000.0,0.612
18,1400000.0,0.621
19,1600000.0,0.63
20,1800000.0,0.636
21,2000000.0,0.641
22,2200000.0,0.645
23,2400000.0,0.65
24,2600000.0,0.652
25,2800000.0,0.654
26,3000000.0,0.657
27,3200000.0,0.661
28,3400000.0,0.664
29,3600000.0,0.667
30,3800000.0,0.669
31,4000000.0,0.672
32,4200000.0,0.675
33,4400000.0,0.677
34,4600000.0,0.679
35,4800000.0,0.681
36,5200000.0,0.684
37,5400000.0,0.685
38,5600000.0,0.686
39,6600000.0,0.685
40,6800000.0,0.686
41,7000000.0,0.685
42,7400000.0,0.683
43,7600000.0,0.686
44,7800000.0,0.68
45,8000000.0,0.679
46,8500000.0,0.671
47,9000000.0,0.658
48,9500000.0,0.639
49,10000000.0,0.626
50,10500000.0,0.618
51,11000000.0,0.62
52,12000000.0,0.622
53,12500000.0,0.626
54,13000000.0,0.63
55,13500000.0,0.636
56,14000000.0,0.641
57,14500000.0,0.652
58,15000000.0,0.657
59,16000000.0,0.668
60,17000000.0,0.674
61,18000000.0,0.669
62,19000000.0,0.668
63,20000000.0,0.672
64,21000000.0,0.668
65,22000000.0,0.667
66,23000000.0,0.666
67,26000000.0,0.664
68,27000000.0,0.666
69,29000000.0,0.67
70,30000000.0,0.672
71,32000000.0,0.671
72,34000000.0,0.675
73,36000000.0,0.673
74,38000000.0,0.677
75,40000000.0,0.674
76,42000000.0,0.671
77,44000000.0,0.672
78,46000000.0,0.668
79,48000000.0,0.686
80,52000000.0,0.687
81,54000000.0,0.685
82,56000000.0,0.682
83,58000000.0,0.68
84,60000000.0,0.676
