,x,y
0,1e-05,0.002
1,1000.0,0.002
2,2000.0,0.003
3,5000.0,0.004
4,10000.0,0.005
5,20000.0,0.006
6,50000.0,0.008
7,100000.0,0.013
8,200000.0,0.021
9,300000.0,0.029
10,400000.0,0.041
11,500000.0,0.05
12,600000.0,0.058
13,700000.0,0.066
14,800000.0,0.074
15,900000.0,0.082
16,1000000.0,0.09
17,1200000.0,0.099
18,1400000.0,0.107
19,1600000.0,0.113
20,1800000.0,0.092
21,2000000.0,0.09
22,2200000.0,0.094
23,2400000.0,0.1
24,2600000.0,0.11
25,2800000.0,0.12
26,3000000.0,0.131
27,3200000.0,0.141
28,3400000.0,0.151
29,3600000.0,0.158
30,3800000.0,0.162
31,4000000.0,0.168
32,4200000.0,0.172
33,4400000.0,0.173
34,4600000.0,0.175
35,4800000.0,0.177
36,5000000.0,0.178
37,5200000.0,0.18
38,5400000.0,0.181
39,5600000.0,0.182
40,5800000.0,0.183
41,6000000.0,0.184
42,6200000.0,0.186
43,6400000.0,0.187
44,6600000.0,0.187
45,6800000.0,0.188
46,7000000.0,0.184
47,7200000.0,0.184
48,7400000.0,0.183
49,7600000.0,0.177
50,7800000.0,0.17
51,8000000.0,0.162
52,8500000.0,0.143
53,9000000.0,0.124
54,9500000.0,0.115
55,10000000.0,0.111
56,10500000.0,0.112
57,11000000.0,0.119
58,11500000.0,0.127
59,12000000.0,0.137
60,12500000.0,0.149
61,13000000.0,0.161
62,13500000.0,0.178
63,14000000.0,0.191
64,14500000.0,0.205
65,15000000.0,0.225
66,16000000.0,0.255
67,17000000.0,0.268
68,18000000.0,0.268
69,19000000.0,0.275
70,20000000.0,0.271
71,22000000.0,0.267
72,23000000.0,0.269
73,24000000.0,0.266
74,25000000.0,0.27
75,26000000.0,0.269
76,27000000.0,0.269
77,28000000.0,0.273
78,29000000.0,0.274
79,30000000.0,0.275
80,32000000.0,0.279
81,34000000.0,0.281
82,36000000.0,0.307
83,38000000.0,0.308
84,40000000.0,0.309
85,42000000.0,0.318
86,44000000.0,0.313
87,46000000.0,0.315
88,48000000.0,0.324
89,50000000.0,0.322
90,52000000.0,0.325
91,54000000.0,0.324
92,56000000.0,0.327
93,58000000.0,0.331
94,60000000.0,0.336
