,x,y
0,1e-05,0.3
1,24500.0,0.301
2,100000.0,0.302
3,150000.0,0.303
4,215000.0,0.305
5,300000.0,0.306
6,465000.0,0.31
7,700000.0,0.315
8,1000000.0,0.321
9,1500000.0,0.332
10,2150000.0,0.346
11,3000000.0,0.364
12,4650000.0,0.399
13,7000000.0,0.45
14,10000000.0,0.514
15,12000000.0,0.557
16,13000000.0,0.578
17,14000000.0,0.599
18,15000000.0,0.61
19,21000000.0,0.601
20,22000000.0,0.588
21,23000000.0,0.578
22,24000000.0,0.568
23,25000000.0,0.559
24,26000000.0,0.553
25,27000000.0,0.544
26,28000000.0,0.54
27,29000000.0,0.533
28,30000000.0,0.528
29,32000000.0,0.519
30,34000000.0,0.516
31,36000000.0,0.508
32,38000000.0,0.506
33,40000000.0,0.503
34,42000000.0,0.501
35,44000000.0,0.497
36,46000000.0,0.498
37,48000000.0,0.493
38,50000000.0,0.491
39,52000000.0,0.38
40,54000000.0,0.378
41,58000000.0,0.38
42,60000000.0,0.376
