,x,y
0,1e-05,0.7
1,24500.0,0.699
2,100000.0,0.698
3,150000.0,0.697
4,215000.0,0.695
5,300000.0,0.694
6,465000.0,0.69
7,700000.0,0.685
8,1000000.0,0.679
9,1500000.0,0.668
10,2150000.0,0.654
11,3000000.0,0.636
12,4650000.0,0.601
13,7000000.0,0.55
14,10000000.0,0.486
15,12000000.0,0.443
16,13000000.0,0.422
17,14000000.0,0.401
18,15000000.0,0.39
19,21000000.0,0.389
20,23000000.0,0.39
21,25000000.0,0.389
22,26000000.0,0.39
23,27000000.0,0.389
24,34000000.0,0.382
25,38000000.0,0.38
26,40000000.0,0.381
27,44000000.0,0.382
28,50000000.0,0.385
29,52000000.0,0.387
30,54000000.0,0.386
31,56000000.0,0.388
32,58000000.0,0.391
33,60000000.0,0.39
